#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CCNA2	CDKN1B	4436109	4433436	9606.ENSP00000274026	9606.ENSP00000228872	0	0	0	0	0.058	0.998	0.900	0.843	0.999
CDKN1A	CDK4	4447168	4434582	9606.ENSP00000384849	9606.ENSP00000257904	0	0	0	0	0.051	0.994	0.900	0.899	0.999
CCND3	CDKN1B	4444072	4433436	9606.ENSP00000362082	9606.ENSP00000228872	0	0	0	0	0.061	0.993	0.900	0.713	0.999
CDKN1A	CCNE1	4447168	4435118	9606.ENSP00000384849	9606.ENSP00000262643	0	0	0	0	0.063	0.994	0.900	0.751	0.999
CCNA2	CDK4	4436109	4434582	9606.ENSP00000274026	9606.ENSP00000257904	0	0.003	0	0	0.184	0.994	0.900	0.857	0.999
CCNE1	CDK4	4435118	4434582	9606.ENSP00000262643	9606.ENSP00000257904	0	0	0	0	0.143	0.994	0.900	0.824	0.999
CDKN1A	CCND2	4447168	4434845	9606.ENSP00000384849	9606.ENSP00000261254	0	0	0	0	0.061	0.993	0.900	0.691	0.999
CCND3	CDK4	4444072	4434582	9606.ENSP00000362082	9606.ENSP00000257904	0	0	0	0	0.064	0.999	0.900	0.936	0.999
CCND2	CDK4	4434845	4434582	9606.ENSP00000261254	9606.ENSP00000257904	0	0	0	0	0.064	0.918	0.900	0.933	0.999
RB1	CDK4	4435747	4434582	9606.ENSP00000267163	9606.ENSP00000257904	0	0	0	0	0.063	0.994	0.900	0.861	0.999
CDKN1A	CCND1	4447168	4433391	9606.ENSP00000384849	9606.ENSP00000227507	0	0	0	0	0.084	0.993	0.900	0.857	0.999
CDKN2A	CDK4	4448997	4434582	9606.ENSP00000418915	9606.ENSP00000257904	0	0	0	0	0	0.812	0.900	0.956	0.999
CDK4	CCND1	4434582	4433391	9606.ENSP00000257904	9606.ENSP00000227507	0	0	0	0	0.082	0.994	0.900	0.973	0.999
CDKN1A	CCNA2	4447168	4436109	9606.ENSP00000384849	9606.ENSP00000274026	0	0	0	0	0.058	0.994	0.900	0.793	0.999
CDKN1A	CCND3	4447168	4444072	9606.ENSP00000384849	9606.ENSP00000362082	0	0	0	0	0.061	0.993	0.900	0.712	0.999
