#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CIC	ATXN1	4450602	4433914	9606.ENSP00000458663	9606.ENSP00000244769	0	0	0	0	0.061	0.937	0	0.580	0.973
CIC	ATXN1L	4450602	4448799	9606.ENSP00000458663	9606.ENSP00000415822	0	0	0	0	0.073	0.732	0	0.796	0.945
UBQLN4	ATXN1	4443078	4433914	9606.ENSP00000357292	9606.ENSP00000244769	0	0	0	0	0	0.379	0	0.914	0.944
RBM17	ATXN1	4447560	4433914	9606.ENSP00000388638	9606.ENSP00000244769	0	0	0	0	0	0.472	0	0.875	0.931
CIC	RBM17	4450602	4447560	9606.ENSP00000458663	9606.ENSP00000388638	0	0	0	0	0	0	0	0.858	0.858
ATXN1L	RBM17	4448799	4447560	9606.ENSP00000415822	9606.ENSP00000388638	0	0	0	0	0	0.157	0	0.735	0.767
ATP5J	PGLS	4447621	4434241	9606.ENSP00000389649	9606.ENSP00000252603	0	0	0	0	0.049	0	0	0.668	0.670
CIC	PRRC2A	4450602	4444668	9606.ENSP00000458663	9606.ENSP00000365201	0	0	0	0	0.657	0	0	0	0.657
CIC	ATP5J	4450602	4447621	9606.ENSP00000458663	9606.ENSP00000389649	0	0	0	0	0	0	0	0.617	0.617
RBM17	UBQLN4	4447560	4443078	9606.ENSP00000388638	9606.ENSP00000357292	0	0	0	0	0.121	0	0	0.528	0.567
CIC	PGLS	4450602	4434241	9606.ENSP00000458663	9606.ENSP00000252603	0	0	0	0	0	0	0	0.565	0.565
CIC	UBQLN4	4450602	4443078	9606.ENSP00000458663	9606.ENSP00000357292	0	0	0	0	0.065	0.063	0	0.527	0.549
CIC	FUBP1	4450602	4443616	9606.ENSP00000458663	9606.ENSP00000359804	0	0	0	0	0.088	0	0	0.519	0.542
CIC	APBA3	4450602	4438975	9606.ENSP00000458663	9606.ENSP00000315136	0	0	0	0	0	0	0	0.534	0.534
RBM17	DNAJB6	4447560	4435022	9606.ENSP00000388638	9606.ENSP00000262177	0	0	0	0	0.055	0	0	0.527	0.533
RBM17	FUBP1	4447560	4443616	9606.ENSP00000388638	9606.ENSP00000359804	0	0	0	0	0.504	0	0	0.084	0.526
CIC	DNAJB6	4450602	4435022	9606.ENSP00000458663	9606.ENSP00000262177	0	0	0	0	0	0	0	0.525	0.525
ATXN1L	ATXN1	4448799	4433914	9606.ENSP00000415822	9606.ENSP00000244769	0	0	0	0.703	0.062	0.294	0	0.820	0.476
ATXN1L	UBQLN4	4448799	4443078	9606.ENSP00000415822	9606.ENSP00000357292	0	0	0	0	0.062	0	0	0.387	0.400
