#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PUF60	FUBP1	4449703	4443616	9606.ENSP00000434359	9606.ENSP00000359804	0	0	0	0	0.428	0.873	0	0.877	0.990
HNRNPF	U2AF2	4448121	4438366	9606.ENSP00000400433	9606.ENSP00000307863	0	0	0	0	0.735	0.221	0.900	0.561	0.989
PUF60	U2AF2	4449703	4438366	9606.ENSP00000434359	9606.ENSP00000307863	0	0	0	0.594	0.361	0.519	0.900	0.753	0.976
U2AF2	PCBP1	4438366	4438137	9606.ENSP00000307863	9606.ENSP00000305556	0	0	0	0	0.520	0.206	0.900	0.335	0.971
KHDRBS1	U2AF2	4438885	4438366	9606.ENSP00000313829	9606.ENSP00000307863	0	0	0	0	0.750	0.730	0	0.616	0.971
PUF60	HNRNPF	4449703	4448121	9606.ENSP00000434359	9606.ENSP00000400433	0	0	0	0	0.332	0.413	0.900	0.263	0.967
HNRNPF	PCBP1	4448121	4438137	9606.ENSP00000400433	9606.ENSP00000305556	0	0	0	0	0.516	0	0.900	0.366	0.966
HNRNPF	TIAL1	4448121	4443255	9606.ENSP00000400433	9606.ENSP00000358089	0	0	0	0	0.440	0.050	0.900	0.252	0.954
KHSRP	KHDRBS1	4446783	4438885	9606.ENSP00000381216	9606.ENSP00000313829	0	0	0	0	0.905	0.188	0	0.418	0.951
PUF60	PCBP1	4449703	4438137	9606.ENSP00000434359	9606.ENSP00000305556	0	0	0	0	0.176	0.114	0.900	0.210	0.934
PUF60	FUBP3	4449703	4439186	9606.ENSP00000434359	9606.ENSP00000318177	0	0	0	0	0.154	0.826	0	0.538	0.926
FUBP1	FUBP3	4443616	4439186	9606.ENSP00000359804	9606.ENSP00000318177	0	0	0	0.948	0.182	0.873	0	0.902	0.896
PUF60	KHSRP	4449703	4446783	9606.ENSP00000434359	9606.ENSP00000381216	0	0	0	0	0.471	0.743	0	0.224	0.885
PKM	PCBP1	4439337	4438137	9606.ENSP00000320171	9606.ENSP00000305556	0	0	0	0	0.049	0.812	0	0.354	0.874
HNRNPF	FUBP1	4448121	4443616	9606.ENSP00000400433	9606.ENSP00000359804	0	0	0	0	0.516	0	0	0.746	0.872
KHSRP	FUBP1	4446783	4443616	9606.ENSP00000381216	9606.ENSP00000359804	0	0	0	0.961	0.863	0	0	0.751	0.867
FUBP1	TIAL1	4443616	4443255	9606.ENSP00000359804	9606.ENSP00000358089	0	0	0	0	0.200	0.721	0	0.448	0.866
HNRNPF	KHDRBS1	4448121	4438885	9606.ENSP00000400433	9606.ENSP00000313829	0	0	0	0	0.740	0	0	0.494	0.863
FUBP1	PCBP1	4443616	4438137	9606.ENSP00000359804	9606.ENSP00000305556	0	0	0	0.596	0.216	0.787	0	0.460	0.856
HNRNPF	KHSRP	4448121	4446783	9606.ENSP00000400433	9606.ENSP00000381216	0	0	0	0	0.636	0	0	0.602	0.849
FUBP1	KHDRBS1	4443616	4438885	9606.ENSP00000359804	9606.ENSP00000313829	0	0	0	0	0.735	0.188	0	0.349	0.848
KHSRP	U2AF2	4446783	4438366	9606.ENSP00000381216	9606.ENSP00000307863	0	0	0	0	0.741	0.126	0	0.369	0.845
HNRNPF	FUBP3	4448121	4439186	9606.ENSP00000400433	9606.ENSP00000318177	0	0	0	0	0.200	0	0	0.777	0.814
FUBP1	PKM	4443616	4439337	9606.ENSP00000359804	9606.ENSP00000320171	0	0	0	0	0	0.800	0	0.073	0.806
FUBP1	U2AF2	4443616	4438366	9606.ENSP00000359804	9606.ENSP00000307863	0	0	0	0	0.630	0.275	0	0.270	0.787
KHSRP	TIAL1	4446783	4443255	9606.ENSP00000381216	9606.ENSP00000358089	0	0	0	0	0.227	0.090	0	0.716	0.783
FUBP1	AIMP2	4443616	4433263	9606.ENSP00000359804	9606.ENSP00000223029	0	0	0	0	0.074	0.379	0	0.652	0.782
TIAL1	PCBP1	4443255	4438137	9606.ENSP00000358089	9606.ENSP00000305556	0	0	0	0	0.311	0.444	0	0.302	0.709
TIAL1	KHDRBS1	4443255	4438885	9606.ENSP00000358089	9606.ENSP00000313829	0	0	0	0	0.261	0.190	0	0.467	0.653
PUF60	AIMP2	4449703	4433263	9606.ENSP00000434359	9606.ENSP00000223029	0	0	0	0	0.160	0.410	0	0.348	0.648
TIAL1	U2AF2	4443255	4438366	9606.ENSP00000358089	9606.ENSP00000307863	0	0	0	0.563	0.324	0.265	0	0.536	0.599
KHDRBS1	PCBP1	4438885	4438137	9606.ENSP00000313829	9606.ENSP00000305556	0	0	0	0	0.366	0.050	0	0.371	0.588
KHSRP	FUBP3	4446783	4439186	9606.ENSP00000381216	9606.ENSP00000318177	0	0	0	0.932	0.208	0.406	0	0.800	0.535
PUF60	KHDRBS1	4449703	4438885	9606.ENSP00000434359	9606.ENSP00000313829	0	0	0	0	0.367	0	0	0.281	0.526
FUBP3	PCBP1	4439186	4438137	9606.ENSP00000318177	9606.ENSP00000305556	0	0	0	0.612	0.183	0.419	0	0.076	0.512
FUBP3	KHDRBS1	4439186	4438885	9606.ENSP00000318177	9606.ENSP00000313829	0	0	0	0	0.198	0.188	0	0.252	0.470
TIAL1	FUBP3	4443255	4439186	9606.ENSP00000358089	9606.ENSP00000318177	0	0	0	0	0.173	0.090	0	0.343	0.463
PKM	U2AF2	4439337	4438366	9606.ENSP00000320171	9606.ENSP00000307863	0	0	0	0	0.071	0.126	0	0.364	0.439
