#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPL11	RPS27	4444414	4443123	9606.ENSP00000363676	9606.ENSP00000357555	0	0	0	0	0.997	0.992	0.900	0.776	0.999
RPL35A	RPS11	4449013	4435953	9606.ENSP00000419117	9606.ENSP00000270625	0	0	0	0	0.997	0.992	0.900	0.755	0.999
RPL11	RPL5	4444414	4443502	9606.ENSP00000363676	9606.ENSP00000359345	0.295	0	0	0	0.996	0.991	0.900	0.973	0.999
RPS14	RPL12	4447293	4442534	9606.ENSP00000385958	9606.ENSP00000354739	0.167	0	0	0	0.995	0.992	0.900	0.684	0.999
RPS10	RPL5	4451602	4443502	9606.ENSP00000481646	9606.ENSP00000359345	0	0	0	0	0.998	0.982	0.900	0.883	0.999
RPL5	RPS27	4443502	4443123	9606.ENSP00000359345	9606.ENSP00000357555	0	0	0	0	0.998	0.992	0.900	0.812	0.999
RPS10	RPS24	4451602	4448728	9606.ENSP00000481646	9606.ENSP00000414321	0	0	0	0	0.998	0.988	0.900	0.874	0.999
RPS10	RPS27	4451602	4443123	9606.ENSP00000481646	9606.ENSP00000357555	0	0	0	0	0.995	0.962	0.900	0.669	0.999
RPS24	RPL19	4448728	4433313	9606.ENSP00000414321	9606.ENSP00000225430	0	0	0	0	0.993	0.987	0.900	0.738	0.999
RPS19	RPS11	4450976	4435953	9606.ENSP00000470972	9606.ENSP00000270625	0	0	0	0	0.999	0.998	0.900	0.705	0.999
RPS24	RPL5	4448728	4443502	9606.ENSP00000414321	9606.ENSP00000359345	0	0	0	0	0.999	0.876	0.900	0.906	0.999
RPS10	RPS11	4451602	4435953	9606.ENSP00000481646	9606.ENSP00000270625	0	0	0	0	0.998	0.991	0.900	0.753	0.999
RPL5	RPL19	4443502	4433313	9606.ENSP00000359345	9606.ENSP00000225430	0.295	0	0	0	0.994	0.992	0.900	0.746	0.999
RPS19	RPS24	4450976	4448728	9606.ENSP00000470972	9606.ENSP00000414321	0	0	0	0	0.999	0.972	0.900	0.922	0.999
RPS24	RPS27	4448728	4443123	9606.ENSP00000414321	9606.ENSP00000357555	0	0	0	0	0.996	0.967	0.900	0.819	0.999
RPS14	RPL19	4447293	4433313	9606.ENSP00000385958	9606.ENSP00000225430	0	0	0.285	0	0.995	0.992	0.900	0.849	0.999
RPS24	RPS14	4448728	4447293	9606.ENSP00000414321	9606.ENSP00000385958	0	0	0	0	0.997	0.991	0.900	0.870	0.999
RPS19	RPS27	4450976	4443123	9606.ENSP00000470972	9606.ENSP00000357555	0.179	0	0	0	0.998	0.991	0.900	0.703	0.999
RPS14	RPS11	4447293	4435953	9606.ENSP00000385958	9606.ENSP00000270625	0.219	0	0.237	0	0.999	0.999	0.900	0.823	0.999
RPS19	RPL19	4450976	4433313	9606.ENSP00000470972	9606.ENSP00000225430	0	0	0	0	0.995	0.992	0.900	0.597	0.999
RPS19	RPL11	4450976	4444414	9606.ENSP00000470972	9606.ENSP00000363676	0	0	0	0	0.996	0.992	0.900	0.897	0.999
RPS14	RPL5	4447293	4443502	9606.ENSP00000385958	9606.ENSP00000359345	0.219	0	0	0	0.999	0.986	0.900	0.891	0.999
MDM4	TP53	4442829	4435880	9606.ENSP00000356150	9606.ENSP00000269305	0	0	0	0	0.139	0.979	0.900	0.928	0.999
RPS10	RPS14	4451602	4447293	9606.ENSP00000481646	9606.ENSP00000385958	0	0	0	0	0.997	0.991	0.900	0.809	0.999
RPS19	RPL35A	4450976	4449013	9606.ENSP00000470972	9606.ENSP00000419117	0	0	0	0	0.988	0.992	0.900	0.907	0.999
RPS24	RPS11	4448728	4435953	9606.ENSP00000414321	9606.ENSP00000270625	0	0	0	0	0.999	0.991	0.900	0.767	0.999
RPS10	RPS19	4451602	4450976	9606.ENSP00000481646	9606.ENSP00000470972	0	0	0	0	0.999	0.991	0.900	0.861	0.999
RPS14	RPS27	4447293	4443123	9606.ENSP00000385958	9606.ENSP00000357555	0	0	0	0	0.998	0.991	0.900	0.810	0.999
RPL35A	RPL5	4449013	4443502	9606.ENSP00000419117	9606.ENSP00000359345	0	0	0	0	0.993	0.977	0.900	0.878	0.999
RPL35A	RPS27	4449013	4443123	9606.ENSP00000419117	9606.ENSP00000357555	0	0	0	0	0.993	0.991	0.900	0.623	0.999
RPS11	RPL19	4435953	4433313	9606.ENSP00000270625	9606.ENSP00000225430	0.295	0	0	0	0.997	0.992	0.900	0.894	0.999
RPL5	RPL12	4443502	4442534	9606.ENSP00000359345	9606.ENSP00000354739	0.219	0	0	0	0.994	0.986	0.900	0.757	0.999
RPS19	RPL12	4450976	4442534	9606.ENSP00000470972	9606.ENSP00000354739	0.218	0	0	0	0.994	0.992	0.900	0.447	0.999
RPL12	RPL19	4442534	4433313	9606.ENSP00000354739	9606.ENSP00000225430	0	0	0	0	0.997	0.992	0.900	0.790	0.999
RPL11	RPL12	4444414	4442534	9606.ENSP00000363676	9606.ENSP00000354739	0.219	0	0	0	0.996	0.992	0.900	0.813	0.999
RPS10	RPL19	4451602	4433313	9606.ENSP00000481646	9606.ENSP00000225430	0	0	0	0	0.996	0.991	0.900	0.600	0.999
RPS10	RPL35A	4451602	4449013	9606.ENSP00000481646	9606.ENSP00000419117	0	0	0	0	0.982	0.991	0.900	0.874	0.999
RPS14	RPL11	4447293	4444414	9606.ENSP00000385958	9606.ENSP00000363676	0.219	0	0.236	0	0.996	0.991	0.900	0.870	0.999
RPL35A	RPS24	4449013	4448728	9606.ENSP00000419117	9606.ENSP00000414321	0	0	0	0	0.990	0.809	0.900	0.921	0.999
RPS27	RPL19	4443123	4433313	9606.ENSP00000357555	9606.ENSP00000225430	0	0	0	0	0.998	0.960	0.900	0.714	0.999
RPS19	RPS14	4450976	4447293	9606.ENSP00000470972	9606.ENSP00000385958	0	0	0	0	0.997	0.999	0.900	0.895	0.999
RPL35A	RPL11	4449013	4444414	9606.ENSP00000419117	9606.ENSP00000363676	0	0	0	0	0.997	0.988	0.900	0.897	0.999
RPS24	RPL12	4448728	4442534	9606.ENSP00000414321	9606.ENSP00000354739	0	0	0	0	0.994	0.989	0.900	0.779	0.999
TP53	MDM2	4435880	4434604	9606.ENSP00000269305	9606.ENSP00000258149	0	0	0	0	0.236	0.987	0.900	0.974	0.999
RPL11	RPS11	4444414	4435953	9606.ENSP00000363676	9606.ENSP00000270625	0.295	0	0	0	0.997	0.992	0.900	0.728	0.999
RPL35A	RPS14	4449013	4447293	9606.ENSP00000419117	9606.ENSP00000385958	0	0	0	0	0.996	0.992	0.900	0.818	0.999
RPL35A	RPL12	4449013	4442534	9606.ENSP00000419117	9606.ENSP00000354739	0	0	0	0	0.997	0.992	0.900	0.666	0.999
RPS10	RPL11	4451602	4444414	9606.ENSP00000481646	9606.ENSP00000363676	0	0	0	0	0.997	0.992	0.900	0.818	0.999
RPS24	RPL11	4448728	4444414	9606.ENSP00000414321	9606.ENSP00000363676	0	0	0	0	0.997	0.991	0.900	0.895	0.999
RPS27	RPL12	4443123	4442534	9606.ENSP00000357555	9606.ENSP00000354739	0	0	0	0	0.991	0.991	0.900	0.605	0.999
RPL5	RPS11	4443502	4435953	9606.ENSP00000359345	9606.ENSP00000270625	0.295	0	0	0	0.999	0.987	0.900	0.696	0.999
RPS27	RPS11	4443123	4435953	9606.ENSP00000357555	9606.ENSP00000270625	0	0	0	0	0.999	0.991	0.900	0.550	0.999
RPL35A	RPL19	4449013	4433313	9606.ENSP00000419117	9606.ENSP00000225430	0	0	0	0	0.996	0.992	0.900	0.771	0.999
RPL11	RPL19	4444414	4433313	9606.ENSP00000363676	9606.ENSP00000225430	0.295	0	0	0	0.997	0.992	0.900	0.751	0.999
ATM	TP53	4436300	4435880	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0	0.563	0.900	0.984	0.999
RPS10	RPL12	4451602	4442534	9606.ENSP00000481646	9606.ENSP00000354739	0	0	0	0	0.996	0.991	0.900	0.716	0.999
RPL12	RPS11	4442534	4435953	9606.ENSP00000354739	9606.ENSP00000270625	0.219	0	0	0	0.996	0.992	0.900	0.599	0.999
RPS19	RPL5	4450976	4443502	9606.ENSP00000470972	9606.ENSP00000359345	0	0	0	0	0.999	0.985	0.900	0.916	0.999
TP73	MDM2	4445034	4434604	9606.ENSP00000367545	9606.ENSP00000258149	0	0	0	0	0	0.973	0.900	0.585	0.998
MDM4	MDM2	4442829	4434604	9606.ENSP00000356150	9606.ENSP00000258149	0	0	0	0.795	0.084	0.980	0.900	0.946	0.998
CDKN2A	TP53	4448997	4435880	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.384	0.900	0.968	0.997
RPL11	MDM2	4444414	4434604	9606.ENSP00000363676	9606.ENSP00000258149	0	0	0	0	0	0.876	0.900	0.797	0.997
AKT1	TP53	4450372	4435880	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.054	0.147	0.900	0.941	0.994
CCNG1	TP53	4441445	4435880	9606.ENSP00000344635	9606.ENSP00000269305	0	0	0	0	0.461	0.520	0.900	0.798	0.994
CDKN2A	MDM2	4448997	4434604	9606.ENSP00000418915	9606.ENSP00000258149	0	0	0	0	0	0.379	0.900	0.897	0.993
AKT1	MDM2	4450372	4434604	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.695	0.900	0.756	0.991
CCNG1	MDM2	4441445	4434604	9606.ENSP00000344635	9606.ENSP00000258149	0	0	0	0	0.634	0.458	0.900	0.601	0.991
USP7	MDM2	4441344	4434604	9606.ENSP00000343535	9606.ENSP00000258149	0	0	0	0	0.061	0.460	0.900	0.833	0.990
ATM	MDM2	4436300	4434604	9606.ENSP00000278616	9606.ENSP00000258149	0	0	0	0	0.062	0.379	0.900	0.860	0.990
TP63	MDM2	4435488	4434604	9606.ENSP00000264731	9606.ENSP00000258149	0	0	0	0	0	0.829	0.900	0.449	0.989
MDM4	USP7	4442829	4441344	9606.ENSP00000356150	9606.ENSP00000343535	0	0	0	0	0.055	0.457	0.900	0.792	0.987
USP7	TP53	4441344	4435880	9606.ENSP00000343535	9606.ENSP00000269305	0	0	0	0	0.055	0.379	0.900	0.814	0.987
MDM4	ATM	4442829	4436300	9606.ENSP00000356150	9606.ENSP00000278616	0	0	0	0	0.108	0.379	0.900	0.788	0.986
RPL5	MDM2	4443502	4434604	9606.ENSP00000359345	9606.ENSP00000258149	0	0	0	0	0	0.472	0.900	0.705	0.983
TP73	TP63	4445034	4435488	9606.ENSP00000367545	9606.ENSP00000264731	0	0	0	0.948	0.061	0.824	0.900	0.755	0.982
CDKN2A	MDM4	4448997	4442829	9606.ENSP00000418915	9606.ENSP00000356150	0	0	0	0	0	0.379	0.900	0.645	0.976
CDKN2A	TP63	4448997	4435488	9606.ENSP00000418915	9606.ENSP00000264731	0	0	0	0	0	0.379	0.900	0.454	0.963
TP73	TP53	4445034	4435880	9606.ENSP00000367545	9606.ENSP00000269305	0	0	0	0.881	0	0.447	0.900	0.833	0.948
TP53	TP63	4435880	4435488	9606.ENSP00000269305	9606.ENSP00000264731	0	0	0	0.878	0	0.447	0.900	0.753	0.947
CDKN2A	USP7	4448997	4441344	9606.ENSP00000418915	9606.ENSP00000343535	0	0	0	0	0.063	0.127	0.900	0.354	0.940
RPL11	TP53	4444414	4435880	9606.ENSP00000363676	9606.ENSP00000269305	0	0	0	0	0.050	0.404	0	0.828	0.894
RPL5	TP53	4443502	4435880	9606.ENSP00000359345	9606.ENSP00000269305	0	0	0	0	0.061	0.342	0	0.733	0.820
AKT1	ATM	4450372	4436300	9606.ENSP00000451828	9606.ENSP00000278616	0	0	0	0	0	0	0	0.814	0.814
TP73	MDM4	4445034	4442829	9606.ENSP00000367545	9606.ENSP00000356150	0	0	0	0	0	0.681	0	0.426	0.809
AKT1	MDM4	4450372	4442829	9606.ENSP00000451828	9606.ENSP00000356150	0	0	0	0	0	0.384	0	0.658	0.781
AKT1	CDKN2A	4450372	4448997	9606.ENSP00000451828	9606.ENSP00000418915	0	0	0	0	0.061	0.214	0	0.707	0.764
RPS14	TP53	4447293	4435880	9606.ENSP00000385958	9606.ENSP00000269305	0	0	0	0	0.070	0.080	0	0.744	0.762
