Sample	chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21q	chr22q
TCGA.02.0047.01	TCGA.02.0047.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0
TCGA.02.0055.01	TCGA.02.0055.01	0	1	0	0	0	-1	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1	0	0	0	-1	1	1	1	0
TCGA.02.2483.01	TCGA.02.2483.01	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	1	1	-1	1	-1	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TCGA.02.2485.01	TCGA.02.2485.01	0	0	0	0	0	0	-1	-1	0	0	0	0	1	1	-1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
TCGA.02.2486.01	TCGA.02.2486.01	0	0	0	0	-1	0	0	0	0	0	0	0	1	1	-1	-1	-1	0	-1	-1	0	0	1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	-1
TCGA.04.1348.01	TCGA.04.1348.01	0	0	0	0	1	1	-1	-1	0	1	1	-1	0	0	-1	1	1	-1	0	-1	0	-1	0	0	1	-1	0	0	-1	-1	-1	1	-1	0	0	0	1	0	-1
TCGA.04.1357.01	TCGA.04.1357.01	0	1	0	0	0	1	-1	-1	1	1	1	-1	0	1	-1	1	-1	-1	0	0	-1	0	1	-1	-1	-1	0	0	0	-1	-1	0	-1	0	0	0	1	0	-1
TCGA.04.1362.01	TCGA.04.1362.01	0	-1	-1	0	0	1	-1	-1	1	-1	1	-1	-1	0	-1	1	-1	1	-1	0	0	1	1	0	0	-1	-1	-1	-1	-1	0	-1	-1	-1	0	1	0	-1	-1
TCGA.04.1364.01	TCGA.04.1364.01	-1	1	1	1	-1	1	1	-1	1	-1	1	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	1	1	-1	-1
TCGA.04.1365.01	TCGA.04.1365.01	0	1	0	0	-1	1	0	0	1	-1	0	-1	0	1	-1	1	-1	0	0	0	-1	0	1	0	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	0	0	-1	-1
