TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
?|100130426	0	0	0	0	0	0	0	0	0	0
?|100133144	3.0732	0	2.9467	15.9952	5.561	17.8149926412245	14.2712904359451	17.7730845219648	12.0472453189945	8.33178301748148
?|100134869	6.7611	15.6973	13.9398	14.9571	4.8049	25.6335910240979	20.3950943028719	29.8263107809522	7.77421783863357	4.83614000388332
?|10357	54.7036	31.3945	60.3441	91.8238	62.5366	120.682547897759	50.6729942721266	156.9559839139	148.608576892513	316.964465787009
?|10431	886.321	885.774	1234.83	470	546.341	1813.96866179556	847.310168226757	1276.68983431723	1652.06215781585	1753.49424110393
?|136542	0	0	0	0	0	0	0	0	0	0
?|155060	232.951	162.018	135.092	417.619	276.219	241.531417462376	265.536337218587	408.690664854563	367.859288395884	139.994499163761
?|26823	0	0.5606	0	1.9048	0	0.676607387970104	0.0874507433814342	0.449883365878883	0.0874507433814342	0.0874507433814342
?|280660	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0
?|340602	3.0732	0	0.8443	1.9048	1.2195	-0.03568988509238	-0.463723450460263	4.57687186151382	0.881448011580481	-0.463723450460263
?|388795	0	1.6819	0	0.9524	1.2195	2.10183293978851	3.53792169485707	2.40220772956933	1.91403622794907	0.408892543000066
?|390284	1.2293	3.9243	1.6887	0.9524	1.2195	0.1102348038573	0.226010130520758	0.067832373043387	0.4262829392105	0.635038903761936
?|391343	0	0	0	0	0	0	0	0	0	0
?|391714	0	0	0	0	0.6098	-0.268952997167169	-0.268952997167169	0.917909790167762	0.0365523700682331	0.164957436182117
?|404770	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0
?|553137	0	0	0	0	0	0	0	0	0	0
?|57714	535.358	247.793	170.976	135.238	356.098	313.945217143153	914.846744714802	364.185268465424	76.0729551089356	567.63268818394
?|645851	22.1273	11.2123	24.9077	45.7143	9.7561	8.01106544535831	9.97657303244481	11.2678697224714	5.40267304755233	4.34032333001119
?|652919	20.5108	5.1296	0	0	0	-0.690238359350381	-0.799538111531584	-0.0918122251671756	1.54229406138975	-0.799538111531584
?|653553	1.2293	7.8486	0	2.8571	6.0976	91.5724580948109	82.684720544664	79.4743882797047	83.8438297738753	124.707426893234
?|728045	0	0	0	0	0	0	0	0	0	0
?|728603	4.9172	0.5606	0	0	0	0	0	0	0	0
?|728788	3.0732	1.1212	6.3325	0	0	0	0	0	0	0
?|729884	0	0	0.4222	0	0	0	0	0	0	0
?|8225	498.479	671.058	840.106	822.857	451.219	849.202775109515	826.378968681185	821.409762064413	777.968492960903	780.694123075269
?|90288	41.796	6.1668	2.9551	8.0952	203.049	14.6842655823349	56.7396751834618	138.023249964659	141.285178283905	153.787679585224
A1BG|1	125.007	391.804	271.852	83.9429	108.256	80.0433755654704	78.9711596007054	50.494976586711	222.181895485876	29.2948838799437
A1CF|29974	0	0	0	0	0	0	0	0	0	0
