TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
?|100133144	-1.7317033935953	-2.33419737636881	-1.60686990725297	-1.05630037665975	-1.39215595334567	-0.899958661907622	-1.01324274159442	-0.955039864378562	-1.04582219168432	-1.19784141333912
?|100134869	-1.44603753253588	-1.09791218425784	-1.04598887423308	-1.08363539063271	-1.44352638192897	-0.758580225911411	-0.873374785706011	-0.746247428494115	-1.20758434362299	-1.39129308472251
?|10357	-0.57271816155203	-0.806876389076722	-0.450843068847359	-0.319972045108046	-0.439570489985754	-0.140519114764613	-0.50760782799608	-0.0583559060447063	-0.0512397366205899	0.256483531065818
?|10431	0.653860627883213	0.646499207065156	0.814473754988056	0.38442835251143	0.463919971474528	0.958879692818781	0.653154615538377	0.821740772640886	0.928223639157261	0.960457476857953
?|155060	0.063163198570241	-0.0972837436126017	-0.115097012972145	0.333296152035487	0.178512585358559	0.140072349120709	0.172916301535499	0.342892992480329	0.316673437328704	-0.0786956635925222
?|26823	-2.35400899464822	-2.13874955489938	-2.18533424857284	-1.82246497620528	-2.18139653722748	-1.88360597030054	-2.10922350212376	-2.03319523588109	-2.05887198952182	-2.08382419415921
?|340602	-1.7317033935953	-2.33419737636881	-1.927425353674	-1.82246497620528	-1.84689391947634	-2.10862515449795	-2.40246864844231	-1.46604765807511	-1.83536397895854	-2.37519976458071
?|388795	-2.35400899464822	-1.90097540592124	-2.18533424857284	-1.99477729011869	-1.84689391947634	-1.63332062651978	-1.51661480407186	-1.67410716128687	-1.6569925819778	-1.97708709573001
?|390284	-1.99877941033997	-1.63412958722103	-1.76859370254256	-1.99477729011869	-1.84689391947634	-2.05129830204513	-2.05947600311667	-2.16195897475709	-1.94828697707869	-1.91573133253469
?|57714	0.430800763013963	0.0883669881473335	-0.0164908369056466	-0.153560200848907	0.284744617369742	0.246361679157729	0.684930049094678	0.294479043840101	-0.32166049161123	0.496072209908994
?|645851	-0.962218781200975	-1.23527639917302	-0.814030304881322	-0.6177751858287	-1.1847579535192	-1.19946126190205	-1.1502171247947	-1.13415019795799	-1.33605411279206	-1.42788638146398
?|652919	-0.99432535041594	-1.53798122824667	-2.18533424857284	-2.2849501434377	-2.18139653722748	-2.5706161459996	-2.81065065975989	-2.23013351437736	-1.71263348695738	-2.78077942336305
?|653553	-1.99877941033997	-1.3767601771616	-2.18533424857284	-1.69948811744749	-1.35917329518259	-0.251753962264748	-0.307620020767854	-0.342268592573628	-0.282496089624378	-0.125997077865076
?|729884	-2.35400899464822	-2.33419737636881	-2.03693231486528	-2.2849501434377	-2.18139653722748	-2.09384029336837	-2.14399944329214	-2.189589509857	-2.09305271116102	-2.11837842232664
?|8225	0.39923580205767	0.524749848106576	0.652346130794719	0.62692838615907	0.383824884175662	0.650366848025428	0.642791254937186	0.636260881528373	0.621458063584769	0.627234559799062
?|90288	-0.68951997169726	-1.46933071183928	-1.60597407335096	-1.327444422381	0.0499413308001822	-0.973998632973358	-0.461560274378954	-0.112107135834837	-0.0717022375458349	-0.0402269926974029
A1BG|1	-0.211017047222993	0.288917242778025	0.177994102415362	-0.358451798370801	-0.212139793909342	-0.305864190997101	-0.326448309695494	-0.530225885955975	0.111829252582507	-0.712496999016176
A2BP1|54715	0.0847487675952946	-0.169331850620405	-0.19708070328247	0.123623670578297	-1.48422085319197	-2.03651179818866	-1.97772790220707	-1.53579019008404	-1.14472072182652	-1.34662150587406
A2LD1|87769	-0.569794158224253	-0.38318294998501	-0.680866597305782	-0.183037599056826	0.0233769895618926	0.0319882925066919	-0.161122025276618	0.0864108814447861	-0.307017067867102	-0.752375818820712
A2M|2	2.2695456581552	2.34970377419377	2.00926056927514	1.6018147343723	2.27453849166065	1.39862328507659	1.60800906933083	1.18829633354278	0.841025244426445	1.26099278254823
A2ML1|144568	-0.695929567270298	-1.90097540592124	-1.65352712811634	0.0390924666091862	-0.230174859227325	-1.44889020375075	-0.716900404356793	-1.62722551225471	-1.58257573156562	-1.74263130254469
A4GALT|53947	-0.750850443565078	0.38487428825094	-0.298967938302705	-0.094152851716869	-0.585208026595325	-0.155413494734641	0.309934065303232	0.654525201421503	0.0375773100277743	0.163932402367711
A4GNT|51146	-1.99877941033997	-2.13874955489938	-2.18533424857284	-2.11603542937216	-2.18139653722748	-2.05399673810307	-2.28054630409009	-2.32817447825587	-2.22726245740603	-2.06110216530959
AAAS|8086	0.369933520494283	0.471870420382811	0.76601952331939	0.717337922893876	0.568825862957036	0.981915443268675	0.700145895575351	0.722318114469163	0.865310675503864	0.424267068289
AACS|65985	0.384262860425673	0.19657148272428	0.428184810821423	0.196370941437491	0.32501552091772	0.856091878644955	0.236871047739737	0.578599326090543	0.709301636937426	0.782764302419729
AACSL|729522	-2.14172436339173	-2.00397265369325	-2.03693231486528	-2.2849501434377	-1.98164283055454	-2.09384029336837	-2.14399944329214	-2.189589509857	-2.09305271116102	-2.11837842232664
AADAC|13	-2.35400899464822	-2.13874955489938	-2.18533424857284	-2.11603542937216	-2.18139653722748	-0.719899635593332	0.125398658800775	-0.218319183503155	-1.53098430174834	0.293730579449746
AADAT|51166	0.0643264777350011	-0.30843215170429	0.158001748219456	-0.00702504272695444	0.0778289450525048	-0.683850225622037	-0.976501923037366	-0.33623708641984	-0.025334594638319	-0.670541043398511
AAGAB|79719	0.719629153101435	0.835000336996183	0.712363034961301	0.829349434091932	0.882545749966377	0.793471549656769	0.629651831179486	0.601374358788409	0.853892116850743	0.907999849423487
AAK1|22848	0.856876069386167	0.699523043034608	0.572483663889361	0.531720554254931	0.43187960524515	0.765692105862515	0.634279373577593	0.404558727713454	0.588626014492418	0.556841812057576
AAMP|14	0.972713909327209	0.979659160890785	1.05071777724651	1.04915607896633	1.06485045560664	1.48670649645922	1.27090903359067	1.31770774999829	1.41829026499104	1.43657337865472
AANAT|15	-1.52244675604204	-1.90097540592124	-1.84056931637249	-2.11603542937216	-1.438276011173	-1.52536264296541	-1.49665619691339	-1.5473504149563	-2.25326454688283	-1.89608406918402
AARS|16	1.33661272649747	1.13605040101045	1.30595075496192	1.5556190358558	1.17407687841139	1.45039172594541	1.05272482476231	0.9576075080185	1.12878502731267	1.27531212994129
AARS2|57505	0.163640677738179	0.220604789974971	0.278921673676392	0.263713310138515	0.27747398227607	0.570342277018067	0.571285035073487	0.632232954883022	0.638792219919227	0.399208470272356
AARSD1|80755	0.211214044792493	0.331940519815131	0.529461528438701	0.38442835251143	0.392780831716404	0.310678008551904	0.538042549154817	0.46651805590989	0.493779703091083	0.0512328769748994
AASDH|132949	0.0791684589472714	0.164490117781668	0.108747024659715	0.0745464311516031	0.133759459854744	-0.0132270523654848	-0.00971914797527157	0.169233701817033	0.176144431364132	0.0446309946247856
AASDHPPT|60496	0.860345970629833	0.618081414641874	0.98878591457635	0.753034834663406	0.833615254427735	0.67740206390974	0.668737277899269	0.648073721500591	0.818400391097084	0.436814984161998
AASS|10157	0.587425888943945	0.351391656381765	0.456718284897702	0.752692262148771	0.485332169933054	-0.321163776641069	-0.227693961004457	-0.337121231857822	0.243164340669365	-1.01110750929048
AATF|26574	0.610356951069912	0.662581159945068	1.01765725420033	0.889160388935881	0.802890714324225	0.775432205067208	0.899803888431852	0.718142519794137	0.91820812139942	0.92604822276142
AATK|9625	0.383133670059971	0.039207186557797	0.156907310337988	-0.306457075738246	0.293955017965794	-0.630954198708906	-0.832218458370244	-0.153533175264835	-0.715606733653209	-0.224898475421792
ABAT|18	1.7058906402258	0.301349071330719	1.218361608554	1.65906063501167	0.773327268918701	0.290072651266303	0.277822866252044	-0.252556392174782	0.0253135951799229	0.724006899758316
ABCA10|10349	-1.41226316394762	-1.74758804151593	-2.18533424857284	-0.974480527041058	-1.66317184832582	-1.33619418189604	-1.28741187950222	-0.793764646936584	-1.48445123959272	-1.74291761735918
ABCA1|19	0.936896099363385	0.94938222926368	1.04692123255428	0.876363288494242	1.2922589341705	0.390485820938387	0.714410781768199	0.828809952046772	0.22964511078804	0.695900122534309
ABCA11P|79963	-0.237240852433195	-0.212744986256701	-0.0158910000390697	-0.499521565506428	-0.161574732847732	-0.286200936294397	-0.399229968331631	-0.436577753128734	0.279762645503169	-0.159393729314867
ABCA12|26154	-1.7317033935953	-1.74758804151593	-1.32228669840595	-1.17571243847349	-1.5358319294355	-2.00587029666398	-1.74816439696306	-2.04623841726585	-2.20803498630398	-1.51187935635761
ABCA13|154664	-0.446012685164414	0.447226044304038	-1.56323803289119	-1.4015470920055	-0.889686236259899	-0.462314381853828	-0.957846911898893	-0.967789958167407	-1.35820154365721	0.24198249432721
ABCA17P|650655	-0.962218781200975	-0.676352490904525	-0.857381421110488	-1.24497651951795	-0.406893907277867	-1.19094968690011	-0.726922605962157	-0.293446912512424	-0.742514714490074	-1.36415708453195
ABCA2|20	1.32027357706639	0.919266270275859	0.980910517632	0.818685980345423	1.13223213333257	0.109717469444471	0.693300363980518	1.08758939463457	0.907601882800317	0.829741625009763
ABCA3|21	1.30964137172506	0.527670721450082	1.10794120478355	1.0705872412938	0.706848037701074	0.427144678464738	0.693761645341015	0.570496199722324	0.484081430282932	-0.0234516825666951
ABCA4|24	-1.52244675604204	-0.613348600236701	-1.07075138382766	-1.3507679697781	-1.438276011173	-0.610983089716061	-1.25118037024903	-1.05497289177149	-1.56097995220842	-1.47575931576275
ABCA5|23461	0.183705705006014	-0.0638550460195106	-0.650969124706865	0.322810081161194	0.169182170357911	-0.364427872205789	-0.120080476825145	0.399221865803749	-0.492407552291706	-0.283526881246522
ABCA6|23460	-0.709034880683062	-0.638511456190309	-1.56323803289119	-1.3507679697781	-0.659836385594393	-1.05675940754519	-0.910545565049108	-1.13461205856406	-1.49894843093489	-1.23079856067594
