#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CTNNB1	CDH1	4441426	4434944	9606.ENSP00000344456	9606.ENSP00000261769	0	0	0	0	0.061	0.998	0.900	0.958	0.999
GRB2	CBL	4446042	4435363	9606.ENSP00000376345	9606.ENSP00000264033	0	0	0	0	0.086	0.963	0.900	0.805	0.999
MET	HGF	4439114	4433227	9606.ENSP00000317272	9606.ENSP00000222390	0	0	0	0	0.061	0.871	0.900	0.972	0.999
HRAS	KRAS	4448459	4434456	9606.ENSP00000407586	9606.ENSP00000256078	0	0	0.447	0.981	0	0.960	0.900	0.824	0.995
HRAS	GRB2	4448459	4446042	9606.ENSP00000407586	9606.ENSP00000376345	0	0	0	0	0.089	0.573	0.900	0.760	0.989
MET	CDH1	4439114	4434944	9606.ENSP00000317272	9606.ENSP00000261769	0	0	0	0	0.062	0.388	0.900	0.810	0.987
MET	CBL	4439114	4435363	9606.ENSP00000317272	9606.ENSP00000264033	0	0	0	0	0	0.798	0.900	0.402	0.986
GRB2	KRAS	4446042	4434456	9606.ENSP00000376345	9606.ENSP00000256078	0	0	0	0	0.089	0.503	0.900	0.714	0.985
SH3KBP1	CBL	4446733	4435363	9606.ENSP00000380921	9606.ENSP00000264033	0	0	0	0	0	0.526	0.900	0.703	0.984
CDH1	HGF	4434944	4433227	9606.ENSP00000261769	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.814	0.980
MET	STAT3	4439114	4435468	9606.ENSP00000317272	9606.ENSP00000264657	0	0	0	0	0.062	0.432	0.900	0.647	0.978
STAT3	HGF	4435468	4433227	9606.ENSP00000264657	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.779	0.977
CTNNB1	MET	4441426	4439114	9606.ENSP00000344456	9606.ENSP00000317272	0	0	0	0	0.061	0.444	0.900	0.605	0.976
SH3KBP1	MET	4446733	4439114	9606.ENSP00000380921	9606.ENSP00000317272	0	0	0	0	0	0.351	0.900	0.646	0.975
GRB2	MET	4446042	4439114	9606.ENSP00000376345	9606.ENSP00000317272	0	0	0	0	0.052	0.472	0.900	0.575	0.975
HRAS	MET	4448459	4439114	9606.ENSP00000407586	9606.ENSP00000317272	0	0	0	0	0	0.271	0.900	0.672	0.974
MET	KRAS	4439114	4434456	9606.ENSP00000317272	9606.ENSP00000256078	0	0	0	0	0	0.271	0.900	0.678	0.974
MET	INPPL1	4439114	4437468	9606.ENSP00000317272	9606.ENSP00000298229	0	0	0	0	0.061	0.546	0.900	0.479	0.974
GRB2	HGF	4446042	4433227	9606.ENSP00000376345	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.726	0.971
KRAS	HGF	4434456	4433227	9606.ENSP00000256078	9606.ENSP00000222390	0	0	0	0	0	0.050	0.900	0.702	0.969
