#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MDM4	TP53	4442829	4435880	9606.ENSP00000356150	9606.ENSP00000269305	0	0	0	0	0.139	0.979	0.900	0.928	0.999
ATM	TP53	4436300	4435880	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0	0.563	0.900	0.984	0.999
TP53	MDM2	4435880	4434604	9606.ENSP00000269305	9606.ENSP00000258149	0	0	0	0	0.236	0.987	0.900	0.974	0.999
TP73	MDM2	4445034	4434604	9606.ENSP00000367545	9606.ENSP00000258149	0	0	0	0	0	0.973	0.900	0.585	0.998
MDM4	MDM2	4442829	4434604	9606.ENSP00000356150	9606.ENSP00000258149	0	0	0	0.795	0.084	0.980	0.900	0.946	0.998
RPL11	MDM2	4444414	4434604	9606.ENSP00000363676	9606.ENSP00000258149	0	0	0	0	0	0.876	0.900	0.797	0.997
CDKN2A	TP53	4448997	4435880	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.384	0.900	0.968	0.997
CCNG1	TP53	4441445	4435880	9606.ENSP00000344635	9606.ENSP00000269305	0	0	0	0	0.461	0.520	0.900	0.798	0.994
AKT1	TP53	4450372	4435880	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.054	0.147	0.900	0.941	0.994
CDKN2A	MDM2	4448997	4434604	9606.ENSP00000418915	9606.ENSP00000258149	0	0	0	0	0	0.379	0.900	0.897	0.993
AKT1	MDM2	4450372	4434604	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.695	0.900	0.756	0.991
CCNG1	MDM2	4441445	4434604	9606.ENSP00000344635	9606.ENSP00000258149	0	0	0	0	0.634	0.458	0.900	0.601	0.991
ATM	MDM2	4436300	4434604	9606.ENSP00000278616	9606.ENSP00000258149	0	0	0	0	0.062	0.379	0.900	0.860	0.990
USP7	MDM2	4441344	4434604	9606.ENSP00000343535	9606.ENSP00000258149	0	0	0	0	0.061	0.460	0.900	0.833	0.990
TP63	MDM2	4435488	4434604	9606.ENSP00000264731	9606.ENSP00000258149	0	0	0	0	0	0.829	0.900	0.449	0.989
USP7	TP53	4441344	4435880	9606.ENSP00000343535	9606.ENSP00000269305	0	0	0	0	0.055	0.379	0.900	0.814	0.987
MDM4	USP7	4442829	4441344	9606.ENSP00000356150	9606.ENSP00000343535	0	0	0	0	0.055	0.457	0.900	0.792	0.987
MDM4	ATM	4442829	4436300	9606.ENSP00000356150	9606.ENSP00000278616	0	0	0	0	0.108	0.379	0.900	0.788	0.986
TP73	TP63	4445034	4435488	9606.ENSP00000367545	9606.ENSP00000264731	0	0	0	0.948	0.061	0.824	0.900	0.755	0.982
CDKN2A	MDM4	4448997	4442829	9606.ENSP00000418915	9606.ENSP00000356150	0	0	0	0	0	0.379	0.900	0.645	0.976
CDKN2A	TP63	4448997	4435488	9606.ENSP00000418915	9606.ENSP00000264731	0	0	0	0	0	0.379	0.900	0.454	0.963
TP73	TP53	4445034	4435880	9606.ENSP00000367545	9606.ENSP00000269305	0	0	0	0.881	0	0.447	0.900	0.833	0.948
TP53	TP63	4435880	4435488	9606.ENSP00000269305	9606.ENSP00000264731	0	0	0	0.878	0	0.447	0.900	0.753	0.947
CDKN2A	USP7	4448997	4441344	9606.ENSP00000418915	9606.ENSP00000343535	0	0	0	0	0.063	0.127	0.900	0.354	0.940
RPL11	TP53	4444414	4435880	9606.ENSP00000363676	9606.ENSP00000269305	0	0	0	0	0.050	0.404	0	0.828	0.894
AKT1	ATM	4450372	4436300	9606.ENSP00000451828	9606.ENSP00000278616	0	0	0	0	0	0	0	0.814	0.814
TP73	MDM4	4445034	4442829	9606.ENSP00000367545	9606.ENSP00000356150	0	0	0	0	0	0.681	0	0.426	0.809
AKT1	MDM4	4450372	4442829	9606.ENSP00000451828	9606.ENSP00000356150	0	0	0	0	0	0.384	0	0.658	0.781
AKT1	CDKN2A	4450372	4448997	9606.ENSP00000451828	9606.ENSP00000418915	0	0	0	0	0.061	0.214	0	0.707	0.764
MDM4	TP63	4442829	4435488	9606.ENSP00000356150	9606.ENSP00000264731	0	0	0	0	0	0.681	0	0.228	0.744
USP7	ATM	4441344	4436300	9606.ENSP00000343535	9606.ENSP00000278616	0	0	0	0	0.079	0	0	0.725	0.736
CDKN2A	ATM	4448997	4436300	9606.ENSP00000418915	9606.ENSP00000278616	0	0	0	0	0.049	0.080	0	0.711	0.725
TP73	ATM	4445034	4436300	9606.ENSP00000367545	9606.ENSP00000278616	0	0	0	0	0.062	0.190	0	0.575	0.649
ATM	TP63	4436300	4435488	9606.ENSP00000278616	9606.ENSP00000264731	0	0	0	0	0.062	0.190	0	0.483	0.573
CDKN2A	TP73	4448997	4445034	9606.ENSP00000418915	9606.ENSP00000367545	0	0	0	0	0	0	0	0.558	0.558
