#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PIK3R1	PIK3CA	4449428	4435346	9606.ENSP00000428056	9606.ENSP00000263967	0	0	0	0	0.082	0.974	0.900	0.899	0.999
PIK3CB	PIK3R2	4436798	4433214	9606.ENSP00000289153	9606.ENSP00000222254	0	0	0	0	0.062	0.944	0.900	0.758	0.998
AKT1	PIK3CA	4450372	4435346	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.063	0.468	0.900	0.978	0.998
PTEN	TP53	4443848	4435880	9606.ENSP00000361021	9606.ENSP00000269305	0	0	0	0	0	0.472	0.900	0.963	0.997
PTEN	PIK3CA	4443848	4435346	9606.ENSP00000361021	9606.ENSP00000263967	0	0	0	0	0.065	0.186	0.900	0.960	0.996
PIK3CA	PIK3R2	4435346	4433214	9606.ENSP00000263967	9606.ENSP00000222254	0	0	0	0	0.062	0.858	0.900	0.732	0.995
PIK3R1	PIK3CB	4449428	4436798	9606.ENSP00000428056	9606.ENSP00000289153	0	0	0	0	0.062	0.806	0.900	0.778	0.995
AKT1	TP53	4450372	4435880	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.054	0.147	0.900	0.941	0.994
PTEN	PTK2	4443848	4441125	9606.ENSP00000361021	9606.ENSP00000341189	0	0	0	0	0.062	0.692	0.900	0.786	0.993
PTEN	SLC9A3R1	4443848	4435111	9606.ENSP00000361021	9606.ENSP00000262613	0	0	0	0	0.062	0.423	0.900	0.865	0.991
AKT1	PIK3R1	4450372	4449428	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0.062	0.447	0.900	0.835	0.990
AKT1	PTEN	4450372	4443848	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0.060	0.472	0	0.981	0.990
PIK3R1	PTEN	4449428	4443848	9606.ENSP00000428056	9606.ENSP00000361021	0	0	0	0	0.063	0.185	0.900	0.865	0.988
USP7	TP53	4441344	4435880	9606.ENSP00000343535	9606.ENSP00000269305	0	0	0	0	0.055	0.379	0.900	0.814	0.987
AKT1	PIK3CB	4450372	4436798	9606.ENSP00000451828	9606.ENSP00000289153	0	0	0	0	0.063	0.464	0.900	0.761	0.986
