#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDKN1A	CDK4	4447168	4434582	9606.ENSP00000384849	9606.ENSP00000257904	0	0	0	0	0.051	0.994	0.900	0.899	0.999
CDK6	CCND1	4435642	4433391	9606.ENSP00000265734	9606.ENSP00000227507	0	0	0	0	0.055	0.994	0.900	0.934	0.999
TP53	MDM2	4435880	4434604	9606.ENSP00000269305	9606.ENSP00000258149	0	0	0	0	0.236	0.987	0.900	0.974	0.999
CDK4	CCND1	4434582	4433391	9606.ENSP00000257904	9606.ENSP00000227507	0	0	0	0	0.082	0.994	0.900	0.973	0.999
RB1	CDK4	4435747	4434582	9606.ENSP00000267163	9606.ENSP00000257904	0	0	0	0	0.063	0.994	0.900	0.861	0.999
E2F1	RB1	4441534	4435747	9606.ENSP00000345571	9606.ENSP00000267163	0	0	0	0	0.145	0.974	0.900	0.841	0.999
CDKN2A	CDK4	4448997	4434582	9606.ENSP00000418915	9606.ENSP00000257904	0	0	0	0	0	0.812	0.900	0.956	0.999
CDKN1A	CCND1	4447168	4433391	9606.ENSP00000384849	9606.ENSP00000227507	0	0	0	0	0.084	0.993	0.900	0.857	0.999
CDKN1A	TP53	4447168	4435880	9606.ENSP00000384849	9606.ENSP00000269305	0	0	0	0	0	0.696	0.900	0.970	0.999
CDKN2A	CDK6	4448997	4435642	9606.ENSP00000418915	9606.ENSP00000265734	0	0	0	0	0	0.868	0.900	0.792	0.997
CDKN2A	TP53	4448997	4435880	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.384	0.900	0.968	0.997
CDKN1A	CDK6	4447168	4435642	9606.ENSP00000384849	9606.ENSP00000265734	0	0	0	0	0.051	0.879	0.900	0.754	0.996
MYC	CDKN1A	4451407	4447168	9606.ENSP00000479618	9606.ENSP00000384849	0	0	0	0	0	0.378	0.900	0.945	0.996
MYC	CDKN2A	4451407	4448997	9606.ENSP00000479618	9606.ENSP00000418915	0	0	0	0	0	0.379	0.900	0.902	0.993
CDKN2A	MDM2	4448997	4434604	9606.ENSP00000418915	9606.ENSP00000258149	0	0	0	0	0	0.379	0.900	0.897	0.993
CDKN2A	CCND1	4448997	4433391	9606.ENSP00000418915	9606.ENSP00000227507	0	0	0	0	0.061	0.313	0.900	0.901	0.992
RB1	CCND1	4435747	4433391	9606.ENSP00000267163	9606.ENSP00000227507	0	0	0	0	0.062	0.522	0.900	0.858	0.992
RB1	CDK6	4435747	4435642	9606.ENSP00000267163	9606.ENSP00000265734	0	0	0	0	0.063	0.478	0.900	0.813	0.989
CDKN2A	E2F1	4448997	4441534	9606.ENSP00000418915	9606.ENSP00000345571	0	0	0	0	0.083	0.392	0.900	0.805	0.987
TP53	RB1	4435880	4435747	9606.ENSP00000269305	9606.ENSP00000267163	0	0	0	0	0.061	0.379	0.900	0.789	0.986
CDKN2A	RB1	4448997	4435747	9606.ENSP00000418915	9606.ENSP00000267163	0	0	0	0	0	0.085	0.900	0.849	0.985
CDKN2A	HRAS	4448997	4448459	9606.ENSP00000418915	9606.ENSP00000407586	0	0	0	0	0	0.210	0.800	0.906	0.984
CDKN2A	CDKN1A	4448997	4447168	9606.ENSP00000418915	9606.ENSP00000384849	0	0	0	0	0.081	0	0.900	0.815	0.981
CDKN1A	RB1	4447168	4435747	9606.ENSP00000384849	9606.ENSP00000267163	0	0	0	0	0.055	0.410	0.900	0.699	0.981
E2F1	CDK4	4441534	4434582	9606.ENSP00000345571	9606.ENSP00000257904	0	0	0	0	0.124	0.168	0.900	0.732	0.977
CDKN1A	E2F1	4447168	4441534	9606.ENSP00000384849	9606.ENSP00000345571	0	0	0	0	0.052	0.435	0.900	0.617	0.976
CDK6	CDK4	4435642	4434582	9606.ENSP00000265734	9606.ENSP00000257904	0	0	0.440	0.970	0.061	0.752	0.900	0.961	0.975
E2F1	CCND1	4441534	4433391	9606.ENSP00000345571	9606.ENSP00000227507	0	0	0	0	0.065	0.132	0.900	0.713	0.973
E2F1	CDK6	4441534	4435642	9606.ENSP00000345571	9606.ENSP00000265734	0	0	0	0	0.063	0.168	0.900	0.699	0.973
RB1	MDM2	4435747	4434604	9606.ENSP00000267163	9606.ENSP00000258149	0	0	0	0	0.061	0.379	0.900	0.570	0.971
E2F1	MDM2	4441534	4434604	9606.ENSP00000345571	9606.ENSP00000258149	0	0	0	0	0	0.379	0.900	0.558	0.970
MYC	TP53	4451407	4435880	9606.ENSP00000479618	9606.ENSP00000269305	0	0	0	0	0.091	0.139	0	0.964	0.969
HRAS	TP53	4448459	4435880	9606.ENSP00000407586	9606.ENSP00000269305	0	0	0	0	0	0.313	0	0.952	0.966
MYC	CCND1	4451407	4433391	9606.ENSP00000479618	9606.ENSP00000227507	0	0	0	0	0.069	0	0	0.963	0.964
TP53	CCND1	4435880	4433391	9606.ENSP00000269305	9606.ENSP00000227507	0	0	0	0	0.061	0.379	0	0.942	0.963
CDKN1A	MDM2	4447168	4434604	9606.ENSP00000384849	9606.ENSP00000258149	0	0	0	0	0.062	0.692	0	0.806	0.939
MYC	CDK4	4451407	4434582	9606.ENSP00000479618	9606.ENSP00000257904	0	0	0	0	0.106	0.378	0	0.849	0.909
MYC	HRAS	4451407	4448459	9606.ENSP00000479618	9606.ENSP00000407586	0	0	0	0	0	0.083	0	0.903	0.908
TP53	CDK4	4435880	4434582	9606.ENSP00000269305	9606.ENSP00000257904	0	0	0	0	0.093	0.186	0	0.843	0.874
E2F1	TP53	4441534	4435880	9606.ENSP00000345571	9606.ENSP00000269305	0	0	0	0	0	0.379	0	0.795	0.867
HRAS	CCND1	4448459	4433391	9606.ENSP00000407586	9606.ENSP00000227507	0	0	0	0	0	0.078	0	0.836	0.843
MDM2	CCND1	4434604	4433391	9606.ENSP00000258149	9606.ENSP00000227507	0	0	0	0	0	0.379	0	0.725	0.821
MDM2	CDK4	4434604	4434582	9606.ENSP00000258149	9606.ENSP00000257904	0	0	0	0	0	0	0	0.798	0.798
TP53	CDK6	4435880	4435642	9606.ENSP00000269305	9606.ENSP00000265734	0	0	0	0	0.062	0.161	0	0.738	0.776
MYC	E2F1	4451407	4441534	9606.ENSP00000479618	9606.ENSP00000345571	0	0	0	0	0.088	0	0	0.763	0.775
MYC	MDM2	4451407	4434604	9606.ENSP00000479618	9606.ENSP00000258149	0	0	0	0	0	0.142	0	0.742	0.769
MYC	RB1	4451407	4435747	9606.ENSP00000479618	9606.ENSP00000267163	0	0	0	0	0	0.379	0	0.631	0.761
MYC	CDK6	4451407	4435642	9606.ENSP00000479618	9606.ENSP00000265734	0	0	0	0	0.085	0.147	0	0.685	0.733
HRAS	CDK4	4448459	4434582	9606.ENSP00000407586	9606.ENSP00000257904	0	0	0	0	0.062	0.162	0	0.686	0.732
HRAS	CDKN1A	4448459	4447168	9606.ENSP00000407586	9606.ENSP00000384849	0	0	0	0	0.060	0.094	0	0.698	0.720
HRAS	MDM2	4448459	4434604	9606.ENSP00000407586	9606.ENSP00000258149	0	0	0	0	0.052	0	0	0.676	0.679
CDK6	MDM2	4435642	4434604	9606.ENSP00000265734	9606.ENSP00000258149	0	0	0	0	0	0	0	0.649	0.649
HRAS	CDK6	4448459	4435642	9606.ENSP00000407586	9606.ENSP00000265734	0	0	0	0	0.062	0.162	0	0.584	0.644
HRAS	RB1	4448459	4435747	9606.ENSP00000407586	9606.ENSP00000267163	0	0	0	0	0.062	0.164	0	0.474	0.551
