#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EGFR	EGF	4436186	4435570	9606.ENSP00000275493	9606.ENSP00000265171	0	0	0	0	0.160	0.933	0.900	0.972	0.999
GRB2	CBL	4446042	4435363	9606.ENSP00000376345	9606.ENSP00000264033	0	0	0	0	0.086	0.963	0.900	0.805	0.999
GRB2	EGFR	4446042	4436186	9606.ENSP00000376345	9606.ENSP00000275493	0	0	0	0	0	0.900	0.900	0.935	0.999
SHC1	GRB2	4448165	4446042	9606.ENSP00000401303	9606.ENSP00000376345	0	0	0	0	0.061	0.994	0.900	0.979	0.999
EGFR	STAT3	4436186	4435468	9606.ENSP00000275493	9606.ENSP00000264657	0	0	0	0	0	0.753	0.900	0.927	0.998
SHC1	EGFR	4448165	4436186	9606.ENSP00000401303	9606.ENSP00000275493	0	0	0	0	0.069	0.900	0.900	0.895	0.998
TGFA	EGFR	4437149	4436186	9606.ENSP00000295400	9606.ENSP00000275493	0	0	0	0	0.065	0.873	0.900	0.874	0.998
EGFR	EREG	4436186	4433915	9606.ENSP00000275493	9606.ENSP00000244869	0	0	0	0	0	0.870	0.900	0.861	0.998
HRAS	EGFR	4448459	4436186	9606.ENSP00000407586	9606.ENSP00000275493	0	0	0	0	0.052	0.329	0.900	0.972	0.998
EGFR	CBL	4436186	4435363	9606.ENSP00000275493	9606.ENSP00000264033	0	0	0	0	0	0.957	0.900	0.761	0.998
EGFR	KRAS	4436186	4434456	9606.ENSP00000275493	9606.ENSP00000256078	0	0	0	0	0.052	0.494	0.900	0.970	0.998
PTPN11	EGFR	4441096	4436186	9606.ENSP00000340944	9606.ENSP00000275493	0	0	0	0	0	0.800	0.900	0.852	0.996
HRAS	KRAS	4448459	4434456	9606.ENSP00000407586	9606.ENSP00000256078	0	0	0.447	0.981	0	0.960	0.900	0.824	0.995
SHC1	CBL	4448165	4435363	9606.ENSP00000401303	9606.ENSP00000264033	0	0	0	0	0	0.885	0.900	0.580	0.994
PTPN11	STAT3	4441096	4435468	9606.ENSP00000340944	9606.ENSP00000264657	0	0	0	0	0.062	0.436	0.900	0.853	0.991
HRAS	GRB2	4448459	4446042	9606.ENSP00000407586	9606.ENSP00000376345	0	0	0	0	0.089	0.573	0.900	0.760	0.989
GRB2	PTPN11	4446042	4441096	9606.ENSP00000376345	9606.ENSP00000340944	0	0	0	0.633	0.095	0.829	0.900	0.959	0.989
GRB2	KRAS	4446042	4434456	9606.ENSP00000376345	9606.ENSP00000256078	0	0	0	0	0.089	0.503	0.900	0.714	0.985
EGF	STAT3	4435570	4435468	9606.ENSP00000265171	9606.ENSP00000264657	0	0	0	0	0	0	0.900	0.853	0.984
GRB2	EGF	4446042	4435570	9606.ENSP00000376345	9606.ENSP00000265171	0	0	0	0	0	0.388	0.900	0.739	0.982
HRAS	PTPN11	4448459	4441096	9606.ENSP00000407586	9606.ENSP00000340944	0	0	0	0	0.086	0.186	0.900	0.790	0.982
SHC1	EGF	4448165	4435570	9606.ENSP00000401303	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0.820	0.981
HRAS	EGF	4448459	4435570	9606.ENSP00000407586	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0.785	0.977
EGF	KRAS	4435570	4434456	9606.ENSP00000265171	9606.ENSP00000256078	0	0	0	0	0	0	0.900	0.772	0.976
PTPN11	KRAS	4441096	4434456	9606.ENSP00000340944	9606.ENSP00000256078	0	0	0	0	0.108	0.186	0.900	0.719	0.976
PTPN11	CBL	4441096	4435363	9606.ENSP00000340944	9606.ENSP00000264033	0	0	0	0	0.064	0.468	0.900	0.568	0.975
SHC1	KRAS	4448165	4434456	9606.ENSP00000401303	9606.ENSP00000256078	0	0	0	0	0.062	0.278	0.900	0.575	0.967
HRAS	SHC1	4448459	4448165	9606.ENSP00000407586	9606.ENSP00000401303	0	0	0	0	0.062	0	0.900	0.663	0.965
SHC1	PTPN11	4448165	4441096	9606.ENSP00000401303	9606.ENSP00000340944	0	0	0	0.549	0	0.465	0.900	0.723	0.962
GRB2	STAT3	4446042	4435468	9606.ENSP00000376345	9606.ENSP00000264657	0	0	0	0	0.096	0	0.900	0.588	0.959
EGF	CBL	4435570	4435363	9606.ENSP00000265171	9606.ENSP00000264033	0	0	0	0	0	0	0.900	0.588	0.957
PTPN11	EGF	4441096	4435570	9606.ENSP00000340944	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0.595	0.957
KRAS	EREG	4434456	4433915	9606.ENSP00000256078	9606.ENSP00000244869	0	0	0	0	0	0	0.900	0.559	0.954
HRAS	EREG	4448459	4433915	9606.ENSP00000407586	9606.ENSP00000244869	0	0	0	0	0	0	0.900	0.556	0.953
SHC1	EREG	4448165	4433915	9606.ENSP00000401303	9606.ENSP00000244869	0	0	0	0	0	0	0.900	0.291	0.926
EGF	EREG	4435570	4433915	9606.ENSP00000265171	9606.ENSP00000244869	0	0	0	0.672	0	0	0.900	0.762	0.924
TGFA	EGF	4437149	4435570	9606.ENSP00000295400	9606.ENSP00000265171	0	0	0	0.681	0	0	0.800	0.861	0.854
HRAS	STAT3	4448459	4435468	9606.ENSP00000407586	9606.ENSP00000264657	0	0	0	0	0	0.069	0	0.798	0.804
STAT3	KRAS	4435468	4434456	9606.ENSP00000264657	9606.ENSP00000256078	0	0	0	0	0	0.069	0	0.697	0.705
HRAS	CBL	4448459	4435363	9606.ENSP00000407586	9606.ENSP00000264033	0	0	0	0	0	0.469	0	0.417	0.677
TGFA	EREG	4437149	4433915	9606.ENSP00000295400	9606.ENSP00000244869	0	0	0	0	0	0	0	0.673	0.673
STAT3	CBL	4435468	4435363	9606.ENSP00000264657	9606.ENSP00000264033	0	0	0	0	0.055	0.513	0	0.330	0.664
SHC1	STAT3	4448165	4435468	9606.ENSP00000401303	9606.ENSP00000264657	0	0	0	0	0.062	0	0	0.511	0.521
HRAS	TGFA	4448459	4437149	9606.ENSP00000407586	9606.ENSP00000295400	0	0	0	0	0	0	0	0.440	0.440
CBL	KRAS	4435363	4434456	9606.ENSP00000264033	9606.ENSP00000256078	0	0	0	0	0	0.180	0	0.339	0.435
