#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CHEK2	ATM	4445704	4436300	9606.ENSP00000372023	9606.ENSP00000278616	0	0	0	0	0	0.525	0.900	0.992	0.999
BCL2L1	TP53	4437866	4435880	9606.ENSP00000302564	9606.ENSP00000269305	0	0	0	0	0.050	0.912	0.900	0.967	0.999
ATM	TP53	4436300	4435880	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0	0.563	0.900	0.984	0.999
TP53	MDM2	4435880	4434604	9606.ENSP00000269305	9606.ENSP00000258149	0	0	0	0	0.236	0.987	0.900	0.974	0.999
TP53	CREBBP	4435880	4435065	9606.ENSP00000269305	9606.ENSP00000262367	0	0	0	0	0	0.965	0.900	0.839	0.999
TP53	EP300	4435880	4435224	9606.ENSP00000269305	9606.ENSP00000263253	0	0	0	0	0	0.957	0.900	0.845	0.999
CDKN1A	TP53	4447168	4435880	9606.ENSP00000384849	9606.ENSP00000269305	0	0	0	0	0	0.696	0.900	0.970	0.999
MDM4	TP53	4442829	4435880	9606.ENSP00000356150	9606.ENSP00000269305	0	0	0	0	0.139	0.979	0.900	0.928	0.999
TP53BP2	TP53	4441204	4435880	9606.ENSP00000341957	9606.ENSP00000269305	0	0	0	0	0	0.887	0.900	0.866	0.998
CHEK2	TP53	4445704	4435880	9606.ENSP00000372023	9606.ENSP00000269305	0	0	0	0	0.096	0.379	0.900	0.972	0.998
MDM4	MDM2	4442829	4434604	9606.ENSP00000356150	9606.ENSP00000258149	0	0	0	0.795	0.084	0.980	0.900	0.946	0.998
CDKN2A	TP53	4448997	4435880	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.384	0.900	0.968	0.997
CDKN2A	MDM2	4448997	4434604	9606.ENSP00000418915	9606.ENSP00000258149	0	0	0	0	0	0.379	0.900	0.897	0.993
ATM	MDM2	4436300	4434604	9606.ENSP00000278616	9606.ENSP00000258149	0	0	0	0	0.062	0.379	0.900	0.860	0.990
EP300	CREBBP	4435224	4435065	9606.ENSP00000263253	9606.ENSP00000262367	0	0	0	0.957	0.847	0.379	0.900	0.936	0.990
MDM4	ATM	4442829	4436300	9606.ENSP00000356150	9606.ENSP00000278616	0	0	0	0	0.108	0.379	0.900	0.788	0.986
CHEK2	MDM4	4445704	4442829	9606.ENSP00000372023	9606.ENSP00000356150	0	0	0	0	0.055	0.379	0.900	0.754	0.983
CHEK2	MDM2	4445704	4434604	9606.ENSP00000372023	9606.ENSP00000258149	0	0	0	0	0	0.379	0.900	0.722	0.981
CDKN2A	CDKN1A	4448997	4447168	9606.ENSP00000418915	9606.ENSP00000384849	0	0	0	0	0.081	0	0.900	0.815	0.981
CDKN2A	MDM4	4448997	4442829	9606.ENSP00000418915	9606.ENSP00000356150	0	0	0	0	0	0.379	0.900	0.645	0.976
EP300	MDM2	4435224	4434604	9606.ENSP00000263253	9606.ENSP00000258149	0	0	0	0	0	0.379	0.900	0.643	0.975
CDKN1A	EP300	4447168	4435224	9606.ENSP00000384849	9606.ENSP00000263253	0	0	0	0	0.055	0.379	0.900	0.535	0.969
CREBBP	MDM2	4435065	4434604	9606.ENSP00000262367	9606.ENSP00000258149	0	0	0	0	0	0.379	0.900	0.468	0.964
CDKN1A	MDM2	4447168	4434604	9606.ENSP00000384849	9606.ENSP00000258149	0	0	0	0	0.062	0.692	0	0.806	0.939
CDKN2A	BCL2L1	4448997	4437866	9606.ENSP00000418915	9606.ENSP00000302564	0	0	0	0	0	0.416	0	0.557	0.730
BCL2L1	MDM2	4437866	4434604	9606.ENSP00000302564	9606.ENSP00000258149	0	0	0	0	0.055	0.189	0	0.675	0.729
CDKN2A	ATM	4448997	4436300	9606.ENSP00000418915	9606.ENSP00000278616	0	0	0	0	0.049	0.080	0	0.711	0.725
CDKN1A	MDM4	4447168	4442829	9606.ENSP00000384849	9606.ENSP00000356150	0	0	0	0	0	0.472	0	0.483	0.715
CDKN1A	CHEK2	4447168	4445704	9606.ENSP00000384849	9606.ENSP00000372023	0	0	0	0	0.087	0	0	0.689	0.703
CDKN1A	ATM	4447168	4436300	9606.ENSP00000384849	9606.ENSP00000278616	0	0	0	0	0	0	0	0.695	0.695
CDKN1A	CREBBP	4447168	4435065	9606.ENSP00000384849	9606.ENSP00000262367	0	0	0	0	0.055	0.513	0	0.383	0.691
CDKN1A	BCL2L1	4447168	4437866	9606.ENSP00000384849	9606.ENSP00000302564	0	0	0	0	0.069	0	0	0.659	0.669
CDKN2A	CHEK2	4448997	4445704	9606.ENSP00000418915	9606.ENSP00000372023	0	0	0	0	0.064	0.064	0	0.633	0.650
ATM	EP300	4436300	4435224	9606.ENSP00000278616	9606.ENSP00000263253	0	0	0	0	0.064	0.111	0	0.547	0.590
TP53BP2	BCL2L1	4441204	4437866	9606.ENSP00000341957	9606.ENSP00000302564	0	0	0	0	0	0.379	0	0.315	0.556
CDKN2A	EP300	4448997	4435224	9606.ENSP00000418915	9606.ENSP00000263253	0	0	0	0	0	0.061	0	0.543	0.552
BCL2L1	ATM	4437866	4436300	9606.ENSP00000302564	9606.ENSP00000278616	0	0	0	0	0.052	0	0	0.539	0.544
MDM4	EP300	4442829	4435224	9606.ENSP00000356150	9606.ENSP00000263253	0	0	0	0	0	0.294	0	0.347	0.519
ATM	CREBBP	4436300	4435065	9606.ENSP00000278616	9606.ENSP00000262367	0	0	0	0	0.064	0.111	0	0.447	0.500
CHEK2	EP300	4445704	4435224	9606.ENSP00000372023	9606.ENSP00000263253	0	0	0	0	0.062	0.152	0	0.415	0.494
TP53BP2	MDM2	4441204	4434604	9606.ENSP00000341957	9606.ENSP00000258149	0	0	0	0	0	0	0	0.461	0.461
CHEK2	BCL2L1	4445704	4437866	9606.ENSP00000372023	9606.ENSP00000302564	0	0	0	0	0.055	0	0	0.449	0.457
CDKN2A	CREBBP	4448997	4435065	9606.ENSP00000418915	9606.ENSP00000262367	0	0	0	0	0	0.061	0	0.429	0.440
TP53BP2	EP300	4441204	4435224	9606.ENSP00000341957	9606.ENSP00000263253	0	0	0	0	0	0.313	0	0.187	0.418
BCL2L1	EP300	4437866	4435224	9606.ENSP00000302564	9606.ENSP00000263253	0	0	0	0	0	0	0	0.411	0.410
MDM4	BCL2L1	4442829	4437866	9606.ENSP00000356150	9606.ENSP00000302564	0	0	0	0	0	0.068	0	0.389	0.406
