chr	len	mid
chr1	249250621	124625310.5
chr2	243199373	370850307.5
chr3	198022430	591461209
chr4	191154276	786049562
chr5	180915260	972084330
chr6	171115067	1148099494
chr7	159138663	1313226359
chr8	146364022	1465977701
chr9	141213431	1609766428
chr10	135534747	1748140517
chr11	135006516	1883411148
chr12	133851895	2017840354
chr13	115169878	2142351240
chr14	107349540	2253610949
chr15	102531392	2358551415
chr16	90354753	2454994488
chr17	81195210	2540769469
chr18	78077248	2620405698
chr19	59128983	2689008814
chr20	63025520	2750086065
chr21	48129895	2805663773
chr22	51304566	2855381003
