#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDK6	CCND1	4435642	4433391	9606.ENSP00000265734	9606.ENSP00000227507	0	0	0	0	0.055	0.994	0.900	0.934	0.999
E2F1	RB1	4441534	4435747	9606.ENSP00000345571	9606.ENSP00000267163	0	0	0	0	0.145	0.974	0.900	0.841	0.999
CDK4	CCND1	4434582	4433391	9606.ENSP00000257904	9606.ENSP00000227507	0	0	0	0	0.082	0.994	0.900	0.973	0.999
RB1	CDK4	4435747	4434582	9606.ENSP00000267163	9606.ENSP00000257904	0	0	0	0	0.063	0.994	0.900	0.861	0.999
CDK2	CCND1	4435732	4433391	9606.ENSP00000266970	9606.ENSP00000227507	0	0	0	0	0.089	0.845	0.900	0.960	0.999
RB1	CDK2	4435747	4435732	9606.ENSP00000267163	9606.ENSP00000266970	0	0	0	0	0.081	0.994	0.900	0.709	0.999
E2F2	RB1	4442638	4435747	9606.ENSP00000355249	9606.ENSP00000267163	0	0	0	0	0.145	0.972	0.900	0.823	0.999
TFDP1	RB1	4444547	4435747	9606.ENSP00000364519	9606.ENSP00000267163	0	0	0	0	0.145	0.963	0.900	0.444	0.998
E2F4	TFDP1	4445201	4444547	9606.ENSP00000368686	9606.ENSP00000364519	0	0	0	0	0.212	0.964	0.900	0.663	0.998
TFDP1	E2F1	4444547	4441534	9606.ENSP00000364519	9606.ENSP00000345571	0	0	0	0	0.237	0.917	0.900	0.535	0.996
RB1	E2F3	4435747	4435161	9606.ENSP00000267163	9606.ENSP00000262904	0	0	0	0	0.145	0.720	0.900	0.823	0.995
E2F4	RB1	4445201	4435747	9606.ENSP00000368686	9606.ENSP00000267163	0	0	0	0	0.145	0.720	0.900	0.833	0.995
DNMT1	RB1	4442259	4435747	9606.ENSP00000352516	9606.ENSP00000267163	0	0	0	0	0.061	0.865	0.900	0.471	0.992
RB1	CCND1	4435747	4433391	9606.ENSP00000267163	9606.ENSP00000227507	0	0	0	0	0.062	0.522	0.900	0.858	0.992
