#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SMARCA4	ARID1A	4447900	4439367	9606.ENSP00000395654	9606.ENSP00000320485	0	0	0	0	0.242	0.895	0.900	0.898	0.999
NRAS	KRAS	4443345	4434456	9606.ENSP00000358548	9606.ENSP00000256078	0	0	0.448	0.981	0.062	0.960	0.900	0.751	0.996
HRAS	RASA1	4448459	4436131	9606.ENSP00000407586	9606.ENSP00000274376	0	0	0	0	0.108	0.899	0.900	0.677	0.996
HRAS	NRAS	4448459	4443345	9606.ENSP00000407586	9606.ENSP00000358548	0	0	0.448	0.981	0	0.960	0.900	0.746	0.995
HRAS	KRAS	4448459	4434456	9606.ENSP00000407586	9606.ENSP00000256078	0	0	0.447	0.981	0	0.960	0.900	0.824	0.995
HRAS	NF1	4448459	4442095	9606.ENSP00000407586	9606.ENSP00000351015	0	0	0	0	0.063	0.558	0.900	0.884	0.994
POLR2A	BRCA1	4451459	4448999	9606.ENSP00000480158	9606.ENSP00000418960	0	0	0	0	0.061	0.907	0.900	0.282	0.992
NRAS	NF1	4443345	4442095	9606.ENSP00000358548	9606.ENSP00000351015	0	0	0	0	0.063	0.497	0.900	0.791	0.988
NF1	KRAS	4442095	4434456	9606.ENSP00000351015	9606.ENSP00000256078	0	0	0	0	0.064	0.360	0.900	0.765	0.984
NF1	SPRED1	4442095	4437534	9606.ENSP00000351015	9606.ENSP00000299084	0	0	0	0	0.064	0	0.900	0.819	0.981
POLR2A	SMARCA4	4451459	4447900	9606.ENSP00000480158	9606.ENSP00000395654	0	0	0	0	0.192	0.619	0.900	0.275	0.974
NF1	SDC2	4442095	4438282	9606.ENSP00000351015	9606.ENSP00000307046	0	0	0	0	0	0.408	0.900	0.528	0.969
SMARCA4	NF1	4447900	4442095	9606.ENSP00000395654	9606.ENSP00000351015	0	0	0	0	0.113	0.447	0.900	0.425	0.968
RASA1	KRAS	4436131	4434456	9606.ENSP00000274376	9606.ENSP00000256078	0	0	0	0	0.111	0.261	0.900	0.579	0.968
BRCA1	NF1	4448999	4442095	9606.ENSP00000418960	9606.ENSP00000351015	0	0	0	0	0.062	0.268	0.900	0.587	0.967
NRAS	RASA1	4443345	4436131	9606.ENSP00000358548	9606.ENSP00000274376	0	0	0	0	0.108	0.308	0.900	0.487	0.964
SPRED1	RASA1	4437534	4436131	9606.ENSP00000299084	9606.ENSP00000274376	0	0	0	0	0.061	0	0.900	0.592	0.958
HRAS	SPRED1	4448459	4437534	9606.ENSP00000407586	9606.ENSP00000299084	0	0	0	0	0	0.064	0.900	0.548	0.954
NF1	ARID1A	4442095	4439367	9606.ENSP00000351015	9606.ENSP00000320485	0	0	0	0	0	0	0.900	0.554	0.953
NF1	RASA1	4442095	4436131	9606.ENSP00000351015	9606.ENSP00000274376	0	0	0	0.552	0.064	0.261	0.900	0.762	0.950
POLR2A	NF1	4451459	4442095	9606.ENSP00000480158	9606.ENSP00000351015	0	0	0	0	0.065	0.447	0.900	0.144	0.949
SPRED1	KRAS	4437534	4434456	9606.ENSP00000299084	9606.ENSP00000256078	0	0	0	0	0	0.064	0.900	0.495	0.948
SDC2	RASA1	4438282	4436131	9606.ENSP00000307046	9606.ENSP00000274376	0	0	0	0	0	0.379	0.900	0.161	0.943
NRAS	SPRED1	4443345	4437534	9606.ENSP00000358548	9606.ENSP00000299084	0	0	0	0	0.062	0.064	0.900	0.335	0.933
POLR2A	ARID1A	4451459	4439367	9606.ENSP00000480158	9606.ENSP00000320485	0	0	0	0	0.119	0	0.900	0.119	0.915
HRAS	SDC2	4448459	4438282	9606.ENSP00000407586	9606.ENSP00000307046	0	0	0	0	0	0	0.900	0.106	0.906
BRCA1	ARID1A	4448999	4439367	9606.ENSP00000418960	9606.ENSP00000320485	0	0	0	0	0	0.547	0	0.553	0.788
BRCA1	SMARCA4	4448999	4447900	9606.ENSP00000418960	9606.ENSP00000395654	0	0	0	0	0.063	0.454	0	0.531	0.739
ARID1A	KRAS	4439367	4434456	9606.ENSP00000320485	9606.ENSP00000256078	0	0	0	0	0.061	0.184	0	0.676	0.730
HRAS	ARID1A	4448459	4439367	9606.ENSP00000407586	9606.ENSP00000320485	0	0	0	0	0.061	0.184	0	0.673	0.727
BRCA1	KRAS	4448999	4434456	9606.ENSP00000418960	9606.ENSP00000256078	0	0	0	0	0	0	0	0.672	0.672
BRCA1	HRAS	4448999	4448459	9606.ENSP00000418960	9606.ENSP00000407586	0	0	0	0	0	0	0	0.670	0.670
HRAS	SMARCA4	4448459	4447900	9606.ENSP00000407586	9606.ENSP00000395654	0	0	0	0	0	0.076	0	0.441	0.461
NRAS	ARID1A	4443345	4439367	9606.ENSP00000358548	9606.ENSP00000320485	0	0	0	0	0.061	0.184	0	0.340	0.450
SMARCA4	KRAS	4447900	4434456	9606.ENSP00000395654	9606.ENSP00000256078	0	0	0	0	0	0.076	0	0.421	0.442
