entrez	cytoband	symbol	arm
1	19q13.43	A1BG	19q
10	8p22	NAT2	8p
100	20q13.12	ADA	20q
1000	18q12.1	CDH2	18q
10000	1q43-q44	AKT3	1q
100008586	Xp11.23	GAGE12F	Xp
100009601	14q11.2	TRY-GTA7-1	14q
100009602	14q11.2	TRY-GTA5-4	14q
100009603	6p22.1	TRA-AGC11-1	6p
100009604	2p23.3	TRA-AGC8-1	2p
100009605	11q12.1	TRF-GAA2-1	11q
100009606	12q24.31	TRF-GAA1-4	12q
100009607	9p22.3	TRH-GTG1-6	9p
100009613	11q13.3	LINC02584	11q
100009667	10q21.3	POU5F1P5	10q
100009668	3q21.3	POU5F1P6	3q
100009669	3q11.2	POU5F1P7	3q
100009671	18p11.22	IRX4P1	18p
100009675	1p21.3-p13.3	MRT4	1p
100009676	3q12.3	ZBTB11-AS1	3q
10001	14q24.2	MED6	14q
10002	15q23	NR2E3	15q
10003	11q14.3	NAALAD2	11q
100033391	5q35.3	VN2R2P	5q
100033392	9p12	VN2R3P	9p
100033395	9p11.2	VN2R6P	9p
100033396	9q21.11	VN2R7P	9q
100033398	16q23.1	VN2R10P	16q
100033399	19p13.3	VN2R11P	19p
100033400	19p13.2	VN2R12P	19p
100033401	19p13.2	VN2R13P	19p
100033402	19p13.2	VN2R14P	19p
100033403	19p13.2	VN2R15P	19p
100033404	19p13.13	VN2R16P	19p
100033406	19q13.43	VN2R18P	19q
100033407	19q13.43	VN2R19P	19q
100033408	21q21.2	VN2R20P	21q
100033409	9q21.13	OTX2P1	9q
100033411	16q23.1	DUXB	16q
100033413	15q11.2	SNORD116-1	15q
100033414	15q11.2	SNORD116-2	15q
100033415	15q11.2	SNORD116-3	15q
100033416	15q11.2	SNORD116-4	15q
100033417	15q11.2	SNORD116-5	15q
100033418	15q11.2	SNORD116-6	15q
100033419	15q11.2	SNORD116-7	15q
100033420	15q11.2	SNORD116-8	15q
100033421	15q11.2	SNORD116-9	15q
100033422	15q11.2	SNORD116-10	15q
100033423	15q11.2	SNORD116-11	15q
100033424	15q11.2	SNORD116-12	15q
100033425	15q11.2	SNORD116-13	15q
100033426	15q11.2	SNORD116-14	15q
100033427	15q11.2	SNORD116-15	15q
100033428	15q11.2	SNORD116-16	15q
100033429	15q11.2	SNORD116-17	15q
100033430	15q11.2	SNORD116-18	15q
100033431	15q11.2	SNORD116-20	15q
100033432	15q11.2	SNORD116-21	15q
100033433	15q11.2	SNORD116-22	15q
100033434	15q11.2	SNORD116-23	15q
100033435	15q11.2	SNORD116-24	15q
100033436	15q11.2	SNORD116-25	15q
100033437	15q11.2	SNORD115-2	15q
100033438	15q11.2	SNORD116-26	15q
100033439	15q11.2	SNORD116-27	15q
100033440	15q11.2	SNORD115-3	15q
100033441	15q11.2	SNORD115-4	15q
100033442	15q11.2	SNORD115-5	15q
100033443	15q11.2	SNORD115-6	15q
100033444	15q11.2	SNORD115-7	15q
100033445	15q11.2	SNORD115-8	15q
100033446	15q11.2	SNORD115-9	15q
100033447	15q11.2	SNORD115-10	15q
100033448	15q11.2	SNORD115-11	15q
100033449	15q11.2	SNORD115-12	15q
100033450	15q11.2	SNORD115-13	15q
100033451	15q11.2	SNORD115-14	15q
100033453	15q11.2	SNORD115-15	15q
100033454	15q11.2	SNORD115-16	15q
100033455	15q11.2	SNORD115-17	15q
100033456	15q11.2	SNORD115-18	15q
100033458	15q11.2	SNORD115-19	15q
100033460	15q11.2	SNORD115-20	15q
100033603	15q11.2	SNORD115-21	15q
100033799	15q11.2	SNORD115-22	15q
100033800	15q11.2	SNORD115-23	15q
100033801	15q11.2	SNORD115-25	15q
100033802	15q11.2	SNORD115-26	15q
100033803	15q11.2	SNORD115-29	15q
100033804	15q11.2	SNORD115-30	15q
100033805	15q11.2	SNORD115-31	15q
100033806	15q11.2	SNORD115-32	15q
100033807	15q11.2	SNORD115-33	15q
100033808	15q11.2	SNORD115-34	15q
100033809	15q11.2	SNORD115-35	15q
100033810	15q11.2	SNORD115-36	15q
100033811	15q11.2	SNORD115-37	15q
100033812	15q11.2	SNORD115-38	15q
100033813	15q11.2	SNORD115-39	15q
100033814	15q11.2	SNORD115-40	15q
100033815	15q11.2	SNORD115-41	15q
100033816	15q11.2	SNORD115-42	15q
100033817	15q11.2	SNORD115-43	15q
100033818	15q11.2	SNORD115-44	15q
100033819	11p15.5	MIR675	11p
100033820	15q11.2	SNORD116-28	15q
100033821	15q11.2	SNORD116-29	15q
100033822	15q11.2	SNORD115-48	15q
100034700	18p11.3-p11.2	AA1	18p
100034703	16q11-q22	AA2	16q
100034705	13q31.3-q32.1	MMVP3	13q
100034743	1q21.2	PDZK1P1	1q
100036563	15q11.2	SNORD115-24	15q
100036564	15q11.2	SNORD115-27	15q
100036565	15q11.2	SNORD115-28	15q
100036566	15q11.2	SNORD115-45	15q
100036567	15q11.2	SNORD115-47	15q
100036574	14q24.1	HMGN1P3	14q
100036575	1q25.3	HMGN1P4	1q
100037264	Xq24-q25	STQTL6	Xq
100037265	1p21	STQTL7	1p
100037266	9q22	STQTL8	9q
100037267	11q13.4	LOC100037267	11q
100037280	20p12.3	UBE2D3P1	20p
100037417	22q11.23	DDTL	22q
100038246	10q24.31	TLX1NB	10q
100038247	17p11.2	PTLS	17p
100038248	11p12-p11	PSNP3	11p
10004	11q13.1	NAALADL1	11q
100048903	6p22.1	MCCD1P1	6p
100048904	6p22.1	DDX39BP1	6p
100048905	1p36.21	GBD2	1p
100048906	1p34.3	GBD3	1p
100048907	6p22.1	ZDHHC20P1	6p
100048908	6p21.33	ZDHHC20P2	6p
100048909	6p22.1	TMEM183AP1	6p
100048912	9p21.3	CDKN2B-AS1	9p
100048922	6p21.32	RPL35AP4	6p
100048923	6p22.1	DDX39BP2	6p
100048924	6p22.1	MCCD1P2	6p
100049076	5q13.2	GUSBP9	5q
100049159	8p21.2-q13.3	SPG37	8p
100049160	21q22	FEB7	21q
100049542	10q24	SHFM3	10q
100049543	12q24.1	STUT2	12q
100049544	3q26.2-q26.31	APMR2	3q
100049579	5q31	OCTN3	5q
100049587	19q13.41	SIGLEC14	19q
100049613	11q12.1	TRK-TTT3-4	11q
100049614	5q35.3	TRV-CAC1-5	5q
100049707	4p16-p15	SPG38	4p
100049716	12p13.33	LOC100049716	12p
100049717	9p23	JKAMPP1	9p
10005	20q13.12	ACOT8	20q
10006	10p12.1	ABI1	10p
10007	5q31.3	GNPDA1	5q
100073347	19q13.43	MIMT1	19q
10008	11q13.4	KCNE3	11q
10009	Xq24	ZBTB33	Xq
100093624	5q13.2	CDH12P3	5q
100093625	5q13.2	CDH12P1	5q
100093626	5q13.2	CDH12P4	5q
100093630	4q26	SNHG8	4q
100093631	7q11.23	GTF2IP4	7q
100093632	19p13.2	DFNA57	19p
100093698	Xp22.2	GS1-600G8.3	Xp
1001	16q22.1	CDH3	16q
10010	2q24.2	TANK	2q
100101111	13q11	GXYLT1P1	13q
100101112	7p12.3	CDC14BL	7p
100101115	Yp11.2	TTTY21B	Yp
100101116	Yp11.2	TTTY1B	Yp
100101117	Yp11.2	TTTY2B	Yp
100101118	Yp11.2	TTTY8B	Yp
100101119	9p12	SKP1P3	9p
100101120	Yp11.2	TTTY7B	Yp
100101121	Yp11.2	TTTY23B	Yp
100101126	7p14.1	LOC100101126	7p
100101127	8q13.3	LOC100101127	8q
100101148	7q11.23	LOC100101148	7q
100101246	12q24.12	LOC100101246	12q
100101247	6p21.31	LOC100101247	6p
100101266	19p12	HAVCR1P1	19p
100101267	7q11.23	POM121C	7q
100101268	7q11.23	SPDYE12P	7q
100101405	11q12.1	TMA16P1	11q
100101407	1p34.1	TMA16P2	1p
100101423	10q22	MRT8	10q
100101424	14q11.2-q12	MRT9	14q
100101425	16p12-q12	MRT10	16p
100101426	19q13.2-q13.3	MRT11	19q
100101440	7q11.23	PMS2P7	7q
100101467	18q12.2	ZSCAN30	18q
100101478	Xq22.2	LOC100101478	Xq
100101483	7p11.2	LOC100101483	7p
100101490	20q11.21	MCTS2P	20q
100101554	17p11.2	BRI3P3	17p
100101629	Xp11	GAGE8	Xp
100101917	Xq22.2	ELF2P1	Xq
100101932	11q23.1	GNG5P3	11q
100101933	2p13.1	GNG5P4	2p
100101935	13q14.2	GNG5P5	13q
100101938	13q12.11	ANKRD26P3	13q
10011	5q31.3	SRA1	5q
100113373	1p36.23	HMGN2P17	1p
100113374	1q23.3	LOC100113374	1q
100113375	22q13.31	LOC100113375	22q
100113378	20p13	SNORD119	20p
100113379	9p13.3	SNORD121A	9p
100113380	22q12.2	SNORD125	22q
100113381	3p21.1	SNORD19B	3p
100113382	19p13.2	SNORD105B	19p
100113384	5p15.31	SNORD123	5p
100113386	20q13.33	UCKL1-AS1	20q
100113389	14q21.2	SNORD127	14q
100113391	14q11.2	SNORD126	14q
100113392	2q33.1	SNORD11B	2q
100113393	20q13.13	SNORD12B	20q
100113397	Xp11.3	LOC100113397	Xp
100113402	16q22.1	SNORD111B	16q
100113403	6q16.3	LIN28B-AS1	6q
100113404	9p23	LINC00583	9p
100113407	6p24.2	TMEM170B	6p
100113421	9q13	FGF7P8	9q
100114903	3p21.31	NRBF2P2	3p
100118954	10p15.1	NRBF2P5	10p
100124332	10q26.13	YBX2P1	10q
100124334	15q26.1	LOC100124334	15q
100124373	6p21.2	LOC100124373	6p
100124394	3q25.31	KLF3P2	3q
100124401	2p11.2	LOC100124401	2p
100124402	7q21.11	LOC100124402	7q
100124412	15q26.3	FAM138E	15q
100124414	11p15	GINGF4	11p
100124415	16q13-q22.1	EKD2	16q
100124516	18q21.1	SNORD58C	18q
100124533	6p24.3	SCARNA27	6p
100124534	9q22.31	SNORA84	9q
100124535	2p13.3	SNORA36C	2p
100124536	17q24.2	SNORA38B	17q
100124537	2p15	SNORA70B	2p
100124538	9q33.1	SNORA70C	9q
100124539	14q32.11	SNORA11B	14q
100124540	Xp11.3	SNORA11C	Xp
100124541	Xp11.22	SNORA11D	Xp
100124696	19q13.2	TEC	19q
100124700	12q13.13	HOTAIR	12q
100125288	19p13.2	ZGLP1	19p
100125387	10p12.31	HNRNPRP1	10p
100125392	Xp11.22	LOC100125392	Xp
100125393	16q21	LOC100125393	16q
100125409	12q15	LOC100125409	12q
100125556	3q21.2	FAM86JP	3q
100126007	13q33.1	L1TD1P1	13q
100126008	Xq24	NUDT19P1	Xq
100126270	Xq27.3	FMR1-AS1	Xq
100126296	20q13.32	MIR298	20q
100126297	14q32.31	MIR300	14q
100126299	5q31.1	VTRNA2-1	5q
100126301	Xq27.3	MIR509-2	Xq
100126302	Xq26.3	MIR450B	Xq
100126303	Xq27.3	MIR890	Xq
100126304	Xq27.3	MIR891B	Xq
100126306	Xq27.3	MIR888	Xq
100126307	Xq27.3	MIR892B	Xq
100126308	14q32.31	MIR541	14q
100126309	8q22.2	MIR875	8q
100126310	9p21.1	MIR876	9p
100126311	15q21.1	MIR147B	15q
100126313	17p12	MIR744	17p
100126314	6p21.33	MIR877	6p
100126315	14q32.2	MIR665	14q
100126316	9p21.1	MIR873	9p
100126317	Xq13.2	MIR374B	Xq
100126318	22q11.21	MIR301B	22q
100126319	2p16.1	MIR216B	2p
100126320	12p12.1	MIR920	12p
100126321	3q29	MIR922	3q
100126323	18q12.3	MIR924	18q
100126324	Xq26.3	MIR934	Xq
100126325	19q13.42	MIR935	19q
100126326	10q25.1	MIR936	10q
100126327	10p11.23	MIR938	10p
100126328	16p13.3	MIR940	16p
100126329	20q13.33	MIR941-1	20q
100126330	20q13.33	MIR941-4	20q
100126331	1p13.1	MIR942	1p
100126332	4p16.3	MIR943	4p
100126333	11q14.1	MIR708	11q
100126334	3p25.3	MIR885	3p
100126335	14q32.31	MIR543	14q
100126336	14q11.2	MIR208B	14q
100126337	Xq27.3	MIR509-3	Xq
100126338	8q24.3	MIR937	8q
100126339	20q13.33	MIR941-2	20q
100126340	3q28	MIR944	3q
100126341	Xq27.3	MIR891A	Xq
100126342	Xq27.3	MIR892A	Xq
100126343	5q31.2	MIR874	5q
100126345	14q32.31	MIR889	14q
100126346	1q21.3	MIR190B	1q
100126347	5p15.1	MIR887	5p
100126348	1p22.1	MIR760	1p
100126349	1q24.1	MIR921	1q
100126350	2q31.1	MIR933	2q
100126351	8q24.3	MIR939	8q
100126352	20q13.33	MIR941-3	20q
100126354	4q25	MIR297	4q
100126355	16p13.12	MIR365A	16p
100126356	17q11.2	MIR365B	17q
100126446	9q31.2	DEPDC1P2	9q
100126447	Xq23	LOC100126447	Xq
100126572	6q24.1	GJE1	6q
100126584	6q22.31	LOC100126584	6q
100126593	16p12	MAFD4	16p
100126594	5q12-q14	EJM4	5q
100126595	8q23-q24	MGS	8q
100126596	10p14	CUX2P1	10p
100126597	4q32.1	CUX2P2	4q
100126693	21q22.3	LINC00322	21q
100126780	19q13.33	SNAR-G1	19q
100126781	19q13.33	SNAR-F	19q
100126784	11p15.1	LOC100126784	11p
100126791	3p26.1	EGOT	3p
100126793	3p25.3	GHRLOS	3p
100126794	7q22.1	GAEC1	7q
100126798	19q13.33	SNAR-A1	19q
100126799	19q13.33	SNAR-A2	19q
100126800	19q13.33	SNAR-A12	19q
100126822	1q42.13	LOC100126822	1q
100126825	Xp22.13	GJA6P	Xp
100127050	19p13.2	VN2R21P	19p
100127173	6p21.33	HLA-Y	6p
100127206	5q23.3	MINAR2	5q
100127883	18q12.3	IBTKP1	18q
100127888	20q13.33	SLCO4A1-AS1	20q
100127892	3q13.31	LOC100127892	3q
100127893	5q14.1	RPL7P24	5q
100127900	6q13	LOC100127900	6q
100127902	Xq12	BMI1P1	Xq
100127903	4q13.2	LOC100127903	4q
100127905	6q14.3	SMIM11P1	6q
100127906	4q21.22	PQLC1P2	4q
100127907	7q11.21	HNRNPCP7	7q
100127908	6q23.2	SELENOKP2	6q
100127911	5q14.2	ST13P12	5q
100127912	4q28.2	LOC100127912	4q
100127917	6q14.3	LOC100127917	6q
100127919	12q22	LOC100127919	12q
100127922	5q35.2	SUMO2P6	5q
100127924	2q31.1	RPS15AP14	2q
100127934	1p22.1	LOC100127934	1p
100127938	11q22.1	LOC100127938	11q
100127945	3p21.31	SOCS5P3	3p
100127949	11q13.4	RPL15P16	11q
100127950	7p14.1	HECW1-IT1	7p
100127952	11q23.2	ATF4P4	11q
100127954	11q12.3	LOC100127954	11q
100127955	7p22.3	LOC100127955	7p
100127958	16p11.1	AGGF1P9	16p
100127960	11q14.1	BCAS2P1	11q
100127962	9q31.1	LOC100127962	9q
100127963	16p13.3	RPS3AP48	16p
100127965	16p11.2	LOC100127965	16p
100127967	12q13.13	KRT73-AS1	12q
100127969	19q13.2	VN1R96P	19q
100127976	12q13.13	VTI1BP3	12q
100127978	12q13.11	LOC100127978	12q
100127979	22q13.1	FUNDC2P4	22q
100127981	4q35.1	LOC100127981	4q
100127982	8q22.1	LOC100127982	8q
100127983	8q21.3	C8orf88	8q
100127986	5q23.1	LOC100127986	5q
100127989	2q21.1	MED15P4	2q
100127993	2q22.1	RPL15P5	2q
100127995	1q42.12	RPL34P7	1q
100127999	9p24.1	RPL18AP11	9p
100128002	12q24.33	LOC100128002	12q
100128004	9p13.2	RPL32P21	9p
100128006	17p12	LOC100128006	17p
100128007	17p13.1	LOC100128007	17p
100128010	17q21.32	SUMO2P17	17q
100128011	13q31.3	FAR1P1	13q
100128012	15q15.1	ISCA1P4	15q
100128015	15q22.2	HMGN1P26	15q
100128016	17q21.31	WHSC1L2P	17q
100128017	13q32.1	TULP3P1	13q
100128020	3q12.2	ACTR3P3	3q
100128022	18q21.32	LOC100128022	18q
100128023	3q29	DPPA2P3	3q
100128025	3q25.1	WWTR1-AS1	3q
100128027	2p16.1	LOC100128027	2p
100128029	2p16.3	KNOP1P3	2p
100128030	7q21.11	RPL10P11	7q
100128033	20q11.22	PIGPP3	20q
100128036	3q26.2	KLF7P1	3q
100128041	10q21.3	KRT19P4	10q
100128042	2p13.3	BRD7P6	2p
100128043	10q23.32	FAF2P1	10q
100128044	18q22.3	HNRNPA1P11	18q
100128048	2p21	LOC100128048	2p
100128050	4q31.3	LOC100128050	4q
100128052	7q33	LOC100128052	7q
100128054	10q23.33	PLCE1-AS1	10q
100128055	4q31.21	SMARCA5-AS1	4q
100128056	7q31.1	LOC100128056	7q
100128057	21q21.1	NIPA2P3	21q
